as_of,target_quarter,horizon_month,method,nowcast_livello,nowcast_z,gdp_realizzato,errore,n_iter,converged
2018-06-15,2018Q2,3,gaussian,0.8141852136796162,0.26680217333441586,0.5294212303768475,0.28476398330276864,51.0,True
2018-06-15,2018Q2,3,random_walk,0.8101194549169577,0.25971676768779417,0.5294212303768475,0.2806982245401102,,True
2018-06-15,2018Q2,3,student_t,0.846247478946605,0.32267714492708954,0.5294212303768475,0.3168262485697575,91.0,True
2018-07-15,2018Q2,4,arma22,0.8105068056312977,0.26039180452564464,0.5294212303768475,0.2810855752544502,,True
2018-07-15,2018Q2,4,gaussian,0.844740531874999,0.32005098535550314,0.5294212303768475,0.31531930149815146,52.0,True
2018-07-15,2018Q2,4,random_walk,0.8101194549169577,0.25971676768779417,0.5294212303768475,0.2806982245401102,,True
2018-07-15,2018Q2,4,student_t,0.8774912078326268,0.3771256515880672,0.5294212303768475,0.3480699774557793,96.0,True
2018-07-15,2018Q3,1,arma22,0.7273233842264762,0.11542789541716246,0.621760482522582,0.10556290170389426,,True
2018-07-15,2018Q3,1,gaussian,0.729567125439998,0.11933806756260719,0.621760482522582,0.10780664291741604,52.0,True
2018-07-15,2018Q3,1,random_walk,0.8101194549169577,0.25971676768779417,0.621760482522582,0.1883589723943757,,True
2018-07-15,2018Q3,1,student_t,0.7015706356588304,0.07054853076004314,0.621760482522582,0.0798101531362484,96.0,True
2018-08-15,2018Q3,2,arma22,0.6435494514453107,-0.028956089864027743,0.621760482522582,0.021788968922728746,,True
2018-08-15,2018Q3,2,gaussian,0.723989836601548,0.11172967608136397,0.621760482522582,0.10222935407896605,52.0,True
2018-08-15,2018Q3,2,random_walk,0.5294212303768475,-0.22856000978330895,0.621760482522582,-0.09233925214573446,,True
2018-08-15,2018Q3,2,student_t,0.7089984250248307,0.08551052986299752,0.621760482522582,0.0872379425022487,96.0,True
2018-09-15,2018Q3,3,arma22,0.6435494514453107,-0.028956089864027743,0.621760482522582,0.021788968922728746,,True
2018-09-15,2018Q3,3,gaussian,0.762694091809818,0.17942126878999426,0.621760482522582,0.14093360928723597,52.0,True
2018-09-15,2018Q3,3,random_walk,0.5294212303768475,-0.22856000978330895,0.621760482522582,-0.09233925214573446,,True
2018-09-15,2018Q3,3,student_t,0.758496535730863,0.17207997634193425,0.621760482522582,0.13673605320828097,96.0,True
2018-10-15,2018Q3,4,arma22,0.6435494514453107,-0.028956089864027743,0.621760482522582,0.021788968922728746,,True
2018-10-15,2018Q3,4,gaussian,0.7550246920913195,0.16600791464403053,0.621760482522582,0.13326420956873752,52.0,True
2018-10-15,2018Q3,4,random_walk,0.5294212303768475,-0.22856000978330895,0.621760482522582,-0.09233925214573446,,True
2018-10-15,2018Q3,4,student_t,0.7526415970959155,0.16184001385516858,0.621760482522582,0.1308811145733335,95.0,True
2018-10-15,2018Q4,1,arma22,0.6268057021857889,-0.05823997736404624,0.141543998318383,0.4852617038674059,,True
2018-10-15,2018Q4,1,gaussian,0.70256446077339,0.07425788373231178,0.141543998318383,0.561020462455007,52.0,True
2018-10-15,2018Q4,1,random_walk,0.5294212303768475,-0.22856000978330895,0.141543998318383,0.3878772320584645,,True
2018-10-15,2018Q4,1,student_t,0.6927783385104486,0.057142499419779044,0.141543998318383,0.5512343401920656,96.0,True
2018-11-15,2018Q4,2,arma22,0.620276471104336,-0.06942082841182594,0.141543998318383,0.47873247278595304,,True
2018-11-15,2018Q4,2,gaussian,0.765132563505849,0.1848708063445024,0.141543998318383,0.623588565187466,52.0,True
2018-11-15,2018Q4,2,random_walk,0.621760482522582,-0.06681567951345019,0.141543998318383,0.480216484204199,,True
