as_of,target_quarter,horizon_month,method,nowcast_livello,nowcast_z,gdp_realizzato,errore,n_iter,converged
2008-08-15,2008Q3,2,student_t,0.7569259414083995,0.0006856152085929,-0.5266423802783748,1.2835683216867744,29.0,True
2008-09-15,2008Q3,3,arma22,0.3791485873554181,-0.7493427187860568,-0.5266423802783748,0.905790967633793,,True
2008-09-15,2008Q3,3,gaussian,0.3604977116284502,-0.7863716330366375,-0.5266423802783748,0.8871400919068251,43.0,True
2008-09-15,2008Q3,3,random_walk,0.5936625931315831,-0.3234527583511825,-0.5266423802783748,1.120304973409958,,True
2008-09-15,2008Q3,3,student_t,0.3840267506396809,-0.7396577531792081,-0.5266423802783748,0.9106691309180558,31.0,True
2008-10-15,2008Q3,4,arma22,0.3791485873554181,-0.7493427187860568,-0.5266423802783748,0.905790967633793,,True
2008-10-15,2008Q3,4,gaussian,0.0603179519829567,-1.382339926557611,-0.5266423802783748,0.5869603322613316,44.0,True
2008-10-15,2008Q3,4,random_walk,0.5936625931315831,-0.3234527583511825,-0.5266423802783748,1.120304973409958,,True
2008-10-15,2008Q3,4,student_t,0.1046379582537008,-1.2943482560425577,-0.5266423802783748,0.6312803385320757,34.0,True
2008-10-15,2008Q4,1,arma22,0.756849217913847,0.0005332905809253,-2.213341273948544,2.970190491862391,,True
2008-10-15,2008Q4,1,gaussian,-0.0635369203477337,-1.6282378411750125,-2.213341273948544,2.1498043536008105,44.0,True
2008-10-15,2008Q4,1,random_walk,0.5936625931315831,-0.3234527583511825,-2.213341273948544,2.807003867080127,,True
2008-10-15,2008Q4,1,student_t,-0.0244175868062208,-1.5505714372777395,-2.213341273948544,2.1889236871423234,33.0,True
2008-11-15,2008Q4,2,arma22,0.565505578806102,-0.3427891042041018,-2.213341273948544,2.778846852754646,,True
2008-11-15,2008Q4,2,gaussian,-0.201990156703539,-1.8244188849451768,-2.213341273948544,2.011351117245005,43.0,True
2008-11-15,2008Q4,2,random_walk,-0.5266423802783748,-2.4511512309078265,-2.213341273948544,1.6866988936701692,,True
2008-11-15,2008Q4,2,student_t,-0.1153237692805887,-1.6571117656296277,-2.213341273948544,2.0980175046679554,36.0,True
2008-12-15,2008Q4,3,arma22,0.565505578806102,-0.3427891042041018,-2.213341273948544,2.778846852754646,,True
2008-12-15,2008Q4,3,gaussian,-0.5567229193097604,-2.509220898773864,-2.213341273948544,1.6566183546387836,43.0,True
2008-12-15,2008Q4,3,random_walk,-0.5266423802783748,-2.4511512309078265,-2.213341273948544,1.6866988936701692,,True
2008-12-15,2008Q4,3,student_t,-0.4191427476665238,-2.243626094640223,-2.213341273948544,1.7941985262820204,37.0,True
2009-01-15,2008Q4,4,arma22,0.565505578806102,-0.3427891042041018,-2.213341273948544,2.778846852754646,,True
2009-01-15,2008Q4,4,gaussian,-0.8281332339031279,-3.033171177969632,-2.213341273948544,1.3852080400454163,41.0,True
2009-01-15,2008Q4,4,random_walk,-0.5266423802783748,-2.4511512309078265,-2.213341273948544,1.6866988936701692,,True
2009-01-15,2008Q4,4,student_t,-0.6621312749739047,-2.712708881397296,-2.213341273948544,1.5512099989746395,39.0,True
2009-01-15,2009Q1,1,arma22,0.2403133995898954,-0.970563819943572,-1.1413631359902254,1.3816765355801208,,True
2009-01-15,2009Q1,1,gaussian,-0.086078545527921,-1.6006546513401054,-1.1413631359902254,1.0552845904623045,41.0,True
2009-01-15,2009Q1,1,random_walk,-0.5266423802783748,-2.4511512309078265,-1.1413631359902254,0.6147207557118506,,True
2009-01-15,2009Q1,1,student_t,-0.0023603208461235,-1.4390388805411216,-1.1413631359902254,1.1390028151441018,39.0,True
2009-02-15,2009Q1,2,arma22,-0.5852741629945928,-2.1730130734935544,-1.1413631359902254,0.5560889729956326,,True
