window,modello,metodo,n,settimana,RMSE,MAE,Bias,corr,RMSE_rel_fed,RMSE_rel_ar2
2007-2025,tutti,bbvar/-,69,16.92753623188406,1.9876117608994976,1.4745991889061325,0.25027637939493325,0.9041026456281975,0.7892769080215237,0.435271951571057
2007-2025,tutti,cbvar/authors,69,16.92753623188406,2.2975567883967787,1.542378477842361,0.16772917805611687,0.8692343027100893,0.912355498001788,0.5031475697639342
2007-2025,tutti,lbvar/-,69,16.92753623188406,2.023965516682252,1.578929592953858,-0.02282334553111327,0.8873987693058479,0.8037129163626079,0.4432331492947695
2007-2025,tutti,qbvar/-,69,16.92753623188406,2.2090259742444913,1.545290847482883,0.35376562211232476,0.8797005998091753,0.8772000774949564,0.4837599906560295
2007-2025,tutti,nyfed,69,16.92753623188406,2.5182692420101755,1.668723041941266,0.31795073540580593,0.874897113007022,1.0,0.5514819287721858
2007-2025,tutti,ar2,69,16.92753623188406,4.5663676552681,2.3379846252388945,0.41657525193837625,0.11182122220376386,1.813296044398754,1.0
2007-2025,tutti,mean,69,16.92753623188406,4.523403899253171,2.1785581249899133,1.0709948151700466,-0.12426674541051426,1.7962352173441243,0.9905912621894641
2007-2010,tutti,bbvar/-,16,17.0,2.124711464484155,1.489719088953299,0.45973878045435745,0.7852943854686417,1.0527647341452147,0.6444765327671039
2007-2010,tutti,cbvar/authors,16,17.0,1.9041498438097977,1.4949050171886509,-0.2966642985094546,0.8323269686121062,0.9434795442108478,0.5775748423824221
2007-2010,tutti,lbvar/-,16,17.0,2.186971308670286,1.7275113004801717,-0.5706717207732372,0.7809929949501714,1.0836136138204828,0.6633614539351833
2007-2010,tutti,qbvar/-,16,17.0,2.1053188940481466,1.6501909021560337,0.0011344987913737281,0.7877999269893564,1.0431559874515013,0.6385942956892922
2007-2010,tutti,nyfed,16,17.0,2.0182205915258935,1.536256234360295,0.9836663277197616,0.8556991447792873,1.0,0.612175267525828
2007-2010,tutti,ar2,16,17.0,3.2968019104769595,2.160375558523543,0.853661625905716,0.3625990320215649,1.6335191129847622,1.0
2007-2010,tutti,mean,16,17.0,4.039047436896633,2.671225416605905,2.241451392553942,-0.10404739971813586,2.0012913622305653,1.225141075070625
2019-2021,tutti,bbvar/-,10,17.0,3.2169126002477713,2.689655681046004,0.09186872263899803,0.9719889355176446,0.6435561368511928,0.30178800852313636
2019-2021,tutti,cbvar/authors,10,17.0,4.69499686735147,3.40350078430738,1.3653958280044707,0.9374821897626489,0.9392527624929706,0.44045142989313196
2019-2021,tutti,lbvar/-,10,17.0,2.8404946801200386,2.390864492046309,0.14750535251317115,0.9684383706815393,0.56825223754715,0.2664751391343255
2019-2021,tutti,qbvar/-,10,17.0,4.022772982499821,3.000425646291737,1.2481052155220786,0.9580179599597088,0.8047717055935982,0.3773881351441729
2019-2021,tutti,nyfed,10,17.0,4.99865111377472,3.484615164422286,0.8412534282122799,0.9622467476098883,1.0,0.4689381255840898
2019-2021,tutti,ar2,10,17.0,10.659511012350741,6.737951354293943,1.1112812479215748,-0.038632222023792386,2.132477496374264,1.0
2019-2021,tutti,mean,10,17.0,10.199182968498121,5.314344447058201,2.8221019524296898,-0.08185643037484217,2.0403870436951204,0.956815275736452
2024-2025,tutti,bbvar/-,8,17.0,1.5817901520327908,1.4128880099608485,-0.3179153929944098,0.31054743982706323,0.882788082558809,0.9725306412235433
2024-2025,tutti,cbvar/authors,8,17.0,1.3747356697031174,1.162039539078316,-0.15179301814993174,0.5448464174197651,0.7672321542290504,0.8452275168429133
2024-2025,tutti,lbvar/-,8,17.0,1.747193920413426,1.5082415318482425,-0.40656302754433765,0.18412034094192983,0.9750989844499944,1.0742256939568562
2024-2025,tutti,qbvar/-,8,17.0,1.7142121818698082,1.4178736027828225,-0.22806161693356852,0.10546738730156964,0.956692063853758,1.053947560796607
2024-2025,tutti,nyfed,8,17.0,1.7918118552845508,1.5742788147322264,-0.22448774264566218,-0.3445615270924807,1.0,1.1016580994213363
2024-2025,tutti,ar2,8,17.0,1.6264681902903713,1.375025846047469,0.06591937373896645,0.05520710353235406,0.9077226414667728,1.0
2024-2025,tutti,mean,8,17.0,1.6296430640864468,1.4108316878093374,0.059889101135877865,-0.6021831769551755,0.9094945204655147,1.0019520048501587
