window,modello,metodo,n,diff_media,diff_sd,corr_fed,RMSE,RMSE_fed,quota_meglio
2007-2019,tutti,mean,52,0.5888418482740924,1.6467869616584572,-0.26732940320314824,2.614159645405601,1.8126701121465303,0.4230769230769231
2007-2021,tutti,bbvar/-,59,0.10171564652186338,2.163093758527969,0.9211358750919706,2.4211770949486673,3.793985354850616,0.559322033898305
2007-2021,tutti,cbvar/authors,59,-0.06580477675744334,1.792580517261242,0.916875477137134,2.959606173097496,3.793985354850616,0.6101694915254238
2007-2021,tutti,lbvar/-,59,-0.333632422984055,2.384242885046232,0.8999180528210389,2.84165815325126,3.793985354850616,0.5423728813559322
2007-2021,tutti,qbvar/-,59,0.17870411610941592,1.8224965533795732,0.931823773208557,2.81673897280865,3.793985354850616,0.5084745762711864
2007-2021,tutti,ar2,59,-0.5264961182516897,5.314319871290314,-0.3230592773593057,8.588061351927204,3.793985354850616,0.4745762711864407
2007-2021,tutti,mean,59,0.6067700708272584,3.1617075658146327,-0.2147353022388107,6.433219378892685,3.793985354850616,0.3898305084745763
2007-2025,tutti,bbvar/-,70,0.08505225772620992,2.00922872273415,0.9173087785174237,2.3131458608993167,3.551653931588357,0.5428571428571428
2007-2025,tutti,cbvar/authors,70,-0.08683290988389362,1.6912607680933602,0.9119108563489001,2.8002662893809855,3.551653931588357,0.6142857142857143
2007-2025,tutti,lbvar/-,70,-0.3516135363892147,2.233399051364331,0.8937296215519536,2.724906213195491,3.551653931588357,0.5142857142857142
2007-2025,tutti,qbvar/-,70,0.17684535667050777,1.6997707683534884,0.9279108116747204,2.6641312589330237,3.551653931588357,0.5142857142857142
2007-2025,tutti,ar2,70,-0.37565393164848515,4.890717746404762,-0.31976212906384227,7.907541504523411,3.551653931588357,0.5
2007-2025,tutti,mean,70,0.5796454444149427,2.9063673520238846,-0.20641607862414568,5.9370664140848595,3.551653931588357,0.42857142857142855
2007-2010,tutti,bbvar/-,16,-0.5399967484681337,1.612711865709841,0.8326024530402476,2.082185251784935,2.0182205915258935,0.4375
2007-2010,tutti,cbvar/authors,16,-1.256452118415187,1.3724591514284057,0.900874781826477,1.9668004942822535,2.0182205915258935,0.5625
2007-2010,tutti,lbvar/-,16,-1.6140817410780726,1.9826784947506282,0.7740301006931873,2.169823569274888,2.0182205915258935,0.5625
2007-2010,tutti,qbvar/-,16,-0.9273982320407368,1.4196592240209667,0.8985100846415335,2.1066943680497032,2.0182205915258935,0.375
2007-2010,tutti,ar2,16,-0.13000470181404544,2.5554425235439604,0.3944215905257973,3.2968019104769595,2.0182205915258935,0.5625
2007-2010,tutti,mean,16,1.2577850648341804,2.640955479858243,-0.2603302731215418,4.039047436896633,2.0182205915258935,0.375
2019-2021,tutti,bbvar/-,11,0.33707118387603763,4.440896926652826,0.9617169426362207,4.341408775260235,7.950336795401954,0.7272727272727273
2019-2021,tutti,cbvar/authors,11,0.9839918723982635,3.0942803536221746,0.9586006564289283,5.987660792931147,7.950336795401954,0.7272727272727273
2019-2021,tutti,lbvar/-,11,-0.2768746244667992,4.317865899305682,0.9641577147357904,5.467176493886721,7.950336795401954,0.7272727272727273
2019-2021,tutti,qbvar/-,11,1.0993246272694261,3.3207750903143314,0.9693266633816708,5.41260814370218,7.950336795401954,0.7272727272727273
2019-2021,tutti,ar2,11,-2.7636898780953056,11.990509183591215,-0.523134451821816,19.246082008778878,7.950336795401954,0.45454545454545453
2019-2021,tutti,mean,11,0.7657840770443155,6.649458546734949,-0.5753492260190962,13.803243192512587,7.950336795401954,0.36363636363636365
2024-2025,tutti,bbvar/-,8,-0.06970112262992867,0.8851911053055903,-0.13908485839944362,1.5900950739540118,1.7918118552845508,0.5
2024-2025,tutti,cbvar/authors,8,-0.003474827579148021,1.11712235064386,-0.4714445981614597,1.4085436555177697,1.7918118552845508,0.75
2024-2025,tutti,lbvar/-,8,-0.31353667138918545,1.2317277695307105,-0.3339817696948913,1.6611020138407129,1.7918118552845508,0.375
2024-2025,tutti,qbvar/-,8,0.01389885016840145,0.8723538125213747,-0.048499129395487214,1.7223286574601524,1.7918118552845508,0.5
2024-2025,tutti,ar2,8,0.2904071163846287,0.5581971330356534,-0.6896051109424967,1.6264681902903713,1.7918118552845508,0.5
2024-2025,tutti,mean,8,0.28437684378154005,0.3745606120898721,0.666594598487414,1.6296430640864468,1.7918118552845508,0.5
