window,modello,trimestre,n_metodi,completo,allineato,spread_gg,tenuto,motivo
completo,cbvar,2010Q3,4,True,True,0,True,
completo,cbvar,2010Q4,4,True,True,0,True,
completo,cbvar,2011Q1,4,True,True,0,True,
completo,cbvar,2011Q2,4,True,True,0,True,
completo,cbvar,2011Q3,4,True,True,0,True,
completo,cbvar,2011Q4,4,True,True,0,True,
completo,cbvar,2012Q1,4,True,True,0,True,
completo,cbvar,2012Q2,4,True,True,0,True,
completo,cbvar,2012Q3,4,True,True,0,True,
completo,cbvar,2012Q4,4,True,True,0,True,
completo,cbvar,2013Q1,4,True,True,0,True,
completo,cbvar,2013Q2,4,True,True,0,True,
completo,cbvar,2013Q3,4,True,True,0,True,
completo,cbvar,2013Q4,4,True,True,0,True,
completo,cbvar,2014Q1,4,True,True,0,True,
completo,cbvar,2014Q2,4,True,True,0,True,
completo,cbvar,2014Q3,4,True,True,0,True,
completo,cbvar,2014Q4,4,True,True,0,True,
completo,cbvar,2015Q1,4,True,True,0,True,
completo,cbvar,2015Q2,4,True,True,0,True,
completo,cbvar,2015Q3,4,True,True,0,True,
completo,cbvar,2015Q4,4,True,True,0,True,
completo,cbvar,2016Q1,4,True,True,0,True,
completo,cbvar,2016Q2,4,True,True,0,True,
completo,cbvar,2016Q3,4,True,True,0,True,
completo,cbvar,2016Q4,4,True,True,0,True,
completo,cbvar,2017Q1,4,True,True,0,True,
completo,cbvar,2017Q2,4,True,True,0,True,
completo,cbvar,2017Q3,4,True,True,0,True,
completo,cbvar,2017Q4,4,True,True,0,True,
completo,cbvar,2018Q1,4,True,True,0,True,
completo,cbvar,2018Q2,4,True,True,0,True,
completo,cbvar,2018Q3,4,True,True,0,True,
completo,cbvar,2018Q4,4,True,True,0,True,
completo,cbvar,2019Q1,4,True,True,0,True,
completo,cbvar,2019Q2,4,True,True,0,True,
completo,cbvar,2019Q3,4,True,True,0,True,
completo,cbvar,2019Q4,4,True,True,0,True,
completo,cbvar,2020Q1,4,True,True,0,True,
completo,cbvar,2020Q2,4,True,True,0,True,
completo,cbvar,2020Q3,4,True,True,0,True,
completo,cbvar,2020Q4,4,True,True,0,True,
completo,cbvar,2021Q1,4,True,True,0,True,
completo,cbvar,2021Q2,4,True,True,0,True,
completo,cbvar,2021Q3,4,True,False,56,False,stime finali fuori dalla settimana di rilascio
completo,cbvar,2021Q4,3,False,False,0,False,metodi mancanti
completo,cbvar,2022Q1,3,False,False,0,False,metodi mancanti
completo,cbvar,2022Q2,3,False,False,0,False,metodi mancanti
