window,modello,trimestre,realizzato,fed,err_fed,mio_migliore,err_migliore,mio_peggiore,err_peggiore
completo,tutti,2023Q2,2.5352403907615395,1.08,-1.4552403907615394,qbvar/-,-0.2803227204470793,cbvar/authors,-2.5982729780955394
completo,tutti,2023Q3,4.694888429547928,2.58,-2.1148884295479276,cbvar/authors,-2.0375987571821796,lbvar/-,-3.5126863936439827
completo,tutti,2023Q4,3.419215575294809,2.41,-1.0092155752948089,bbvar/-,-1.898928139521327,cbvar/authors,-2.275682511958021
completo,tutti,2024Q1,0.8420915771010673,2.251,1.4089084228989326,lbvar/-,0.0650429164673727,bbvar/-,1.2252267535976746
completo,tutti,2024Q2,3.5892686664036777,2.015,-1.5742686664036776,qbvar/-,-0.1972826462196431,lbvar/-,-1.7186560836363607
completo,tutti,2024Q3,3.340152501559479,2.912,-0.42815250155947915,bbvar/-,-0.23574646334109106,lbvar/-,-0.9393209624976029
completo,tutti,2024Q4,1.8522267738050768,2.563,0.7107732261949233,cbvar/authors,0.7104159274582411,lbvar/-,1.2766863360629488
completo,tutti,2025Q1,-0.6484826392524012,2.631,3.279482639252401,lbvar/-,1.9244185888641518,qbvar/-,3.3695483591336006
completo,tutti,2025Q2,3.838033233381988,1.68,-2.158033233381988,lbvar/-,0.11060850286233004,qbvar/-,-1.3504223893014315
completo,tutti,2025Q3,4.3753962528716,2.35,-2.0253962528716003,cbvar/authors,-1.750456863850692,lbvar/-,-2.8809869009815534
completo,qbvar,2006Q4,3.4823729200428755,1.78,-1.7023729200428754,qbvar/-,0.07160214081770588,qbvar/-,0.07160214081770588
completo,qbvar,2007Q1,1.2087836914185912,2.4,1.1912163085814087,qbvar/-,1.5481673589179734,qbvar/-,1.5481673589179734
completo,qbvar,2007Q2,2.4695947150627617,3.25,0.7804052849372383,qbvar/-,1.091773165701626,qbvar/-,1.091773165701626
completo,qbvar,2007Q3,2.3240880884577653,1.99,-0.3340880884577653,qbvar/-,-1.0062304275676004,qbvar/-,-1.0062304275676004
completo,qbvar,2007Q4,2.5367271478347497,1.49,-1.0467271478347497,qbvar/-,-2.3251188811861945,qbvar/-,-2.3251188811861945
completo,qbvar,2008Q1,-1.6961606735480972,1.43,3.126160673548097,qbvar/-,0.5336034688140756,qbvar/-,0.5336034688140756
completo,qbvar,2008Q2,2.403069701864058,1.99,-0.4130697018640579,qbvar/-,-4.119749608174217,qbvar/-,-4.119749608174217
completo,qbvar,2008Q3,-2.0845363314131338,-0.52,1.5645363314131338,qbvar/-,-1.7777613825014082,qbvar/-,-1.7777613825014082
completo,qbvar,2008Q4,-8.472768957225274,-3.47,5.002768957225273,qbvar/-,4.480560976762504,qbvar/-,4.480560976762504
completo,qbvar,2009Q1,-4.462803810727223,-3.57,0.8928038107272234,qbvar/-,0.3713424735204427,qbvar/-,0.3713424735204427
completo,qbvar,2009Q2,-0.7126911125331037,0.04,0.7526911125331037,qbvar/-,-1.0995663231872683,qbvar/-,-1.0995663231872683
completo,qbvar,2009Q3,1.412187087697636,5.2,3.787812912302364,qbvar/-,3.8663961521123946,qbvar/-,3.8663961521123946
completo,qbvar,2009Q4,4.394263592305325,4.32,-0.07426359230532498,qbvar/-,-1.2898292181472204,qbvar/-,-1.2898292181472204
completo,qbvar,2010Q1,1.952133820572155,3.98,2.027866179427845,qbvar/-,0.8816336701081728,qbvar/-,0.8816336701081728
completo,qbvar,2010Q2,3.926881074055233,4.96,1.033118925944767,qbvar/-,0.7627031728663747,qbvar/-,0.7627031728663747
completo,qbvar,2010Q3,3.1201978026194954,2.27,-0.8501978026194954,qbvar/-,-1.0892372079929658,qbvar/-,-1.0892372079929658
completo,qbvar,2010Q4,2.117043484228409,2.9,0.7829565157715908,qbvar/-,1.1547749229993576,qbvar/-,1.1547749229993576
completo,qbvar,2011Q1,-0.9454489541211974,4.37,5.315448954121198,qbvar/-,5.601914664257867,qbvar/-,5.601914664257867
completo,qbvar,2011Q2,2.7339190839842376,3.17,0.4360809160157624,qbvar/-,0.5537810093266149,qbvar/-,0.5537810093266149
completo,qbvar,2011Q3,-0.0892210766206935,2.09,2.1792210766206934,qbvar/-,1.8186426414267487,qbvar/-,1.8186426414267487
completo,qbvar,2011Q4,4.568438742179692,3.22,-1.3484387421796922,qbvar/-,-0.8323052621842963,qbvar/-,-0.8323052621842963
completo,qbvar,2012Q1,3.396793738645587,3.28,-0.11679373864558729,qbvar/-,-1.2311941826328443,qbvar/-,-1.2311941826328443
completo,qbvar,2012Q2,1.7973274732638431,2.88,1.0826725267361568,qbvar/-,0.2329031320778332,qbvar/-,0.2329031320778332
