window,metodo,fase,n,n_com,RMSE,RMSE_com,RMSE_rel_ar2,MAE,Bias,corr,MDA,MDA_com,n_dir,SignAcc
2007-2025,mean,forecast,978,978,5.756321422363613,5.756321422363613,0.9744405896348631,2.565334071448395,0.6131142326088833,-0.20482435007456795,0.7874743326488707,0.7874743326488707,974,0.8384458077709611
2007-2025,mean,nowcast M1,300,300,5.769511187487135,5.769511187487135,0.9709188451003621,2.5884352429118604,0.6233911215744089,-0.21009837267510723,0.7972972972972973,0.7972972972972973,296,0.84
2007-2025,mean,nowcast M2,375,375,4.403012571245653,4.403012571245653,0.9915306391695685,2.179166819437096,1.019479449531009,-0.15604558719359446,0.6933333333333334,0.6933333333333334,375,0.84
2007-2025,mean,nowcast M3,300,300,4.403012571245653,4.403012571245653,0.9915306391695685,2.179166819437096,1.0194794495310093,-0.15604558719359438,0.6933333333333334,0.6933333333333334,300,0.84
2007-2025,mean,backcast,294,294,4.429968299122487,4.429968299122487,0.9901415767358427,2.1682454278936136,0.9785801910697353,-0.13385119761270542,0.6931034482758621,0.6931034482758621,290,0.8435374149659864
2007-2010,bbvar/-,forecast,209,209,3.5046722077771646,3.5046722077771646,0.8931393517992354,2.631531137553131,1.2488937675096872,0.22283321030406647,0.6634146341463415,0.6634146341463415,205,0.5789473684210527
2007-2010,bbvar/-,nowcast M1,64,64,3.0819789517635203,3.0819789517635203,0.8354290881331099,2.1839511830327663,0.9624348577208847,0.47137378445362893,0.6833333333333333,0.6833333333333333,60,0.71875
2007-2010,bbvar/-,nowcast M2,80,80,2.715698097187955,2.715698097187955,0.8254115648894439,1.8650540591913138,0.8762143386372971,0.6324034352009199,0.8,0.8,80,0.825
2007-2010,bbvar/-,nowcast M3,64,64,2.4333384147029125,2.4333384147029125,0.739590925392367,1.6420306879384747,0.5774891983971981,0.6943933743739513,0.796875,0.796875,64,0.953125
2007-2010,bbvar/-,backcast,65,65,2.2263748343684275,2.2263748343684275,0.6800164174527744,1.541917116062109,0.47829606423922566,0.7559358844742634,0.8360655737704918,0.8360655737704918,61,0.9230769230769231
2007-2010,cbvar/authors,forecast,209,209,3.495709401688338,3.495709401688338,0.8908552480811436,2.7431616825726546,0.47613450742578767,0.13745598563570177,0.6097560975609756,0.6097560975609756,205,0.5358851674641149
2007-2010,cbvar/authors,nowcast M1,64,64,3.16456722734191,3.16456722734191,0.8578162130411046,2.468538201345299,0.1998822396036839,0.2845032226275842,0.6666666666666666,0.6666666666666666,60,0.5625
2007-2010,cbvar/authors,nowcast M2,80,80,2.7280347168119388,2.7280347168119388,0.8291611674390875,2.003209414409747,0.044598566709256195,0.5617683391802079,0.7125,0.7125,80,0.85
2007-2010,cbvar/authors,nowcast M3,64,64,2.0516579236830124,2.0516579236830124,0.6235826357718354,1.5457653203178119,-0.1326177978183945,0.7905134562225293,0.90625,0.90625,64,0.9375
2007-2010,cbvar/authors,backcast,65,65,1.8383075289565816,1.8383075289565816,0.5614864490561565,1.399776339762243,-0.2668939670505959,0.8364789562608393,0.9016393442622951,0.9016393442622951,61,0.8923076923076924
2007-2010,lbvar/-,forecast,209,209,4.049035382637557,4.049035382637557,1.031866212490881,3.211338608256771,0.4275925574289652,-0.0307243722789747,0.6682926829268293,0.6682926829268293,205,0.4449760765550239
2007-2010,lbvar/-,nowcast M1,64,64,3.4456714989344714,3.4456714989344714,0.934014879210618,2.6627849658824974,0.19420687765331068,0.18579591799666947,0.7333333333333333,0.7333333333333333,60,0.625
2007-2010,lbvar/-,nowcast M2,80,80,3.1232380683107746,3.1232380683107746,0.9492796066529255,2.1225860063565145,-0.11330620405288931,0.3874045994222981,0.775,0.775,80,0.775
2007-2010,lbvar/-,nowcast M3,64,64,2.4583302632871686,2.4583302632871686,0.7471869688814321,1.6864663296465408,-0.2849529867773348,0.6702791759497452,0.859375,0.859375,64,0.9375
2007-2010,lbvar/-,backcast,65,65,2.3305774568956643,2.3305774568956643,0.7118437148899809,1.7724717665143237,-0.5152443180937275,0.7302414034809398,0.8688524590163934,0.8688524590163934,61,0.9384615384615385
2007-2010,qbvar/-,forecast,209,209,3.5993441779245674,3.5993441779245674,0.9172657913171374,2.7670338813613844,0.6825714826216952,0.13215301254408263,0.5804878048780487,0.5804878048780487,205,0.5645933014354066
2007-2010,qbvar/-,nowcast M1,64,64,3.199901675463223,3.199901675463223,0.8673942881141947,2.395718224503304,0.5398293130392834,0.29872931141703796,0.6333333333333333,0.6333333333333333,60,0.59375
2007-2010,qbvar/-,nowcast M2,80,80,3.2006301572359996,3.2006301572359996,0.9728022232854516,2.288668956171495,0.521122687261623,0.3402554510940622,0.6875,0.6875,80,0.75
2007-2010,qbvar/-,nowcast M3,64,64,3.1009517711502257,3.1009517711502257,0.9425058907402741,2.261886762310349,0.3604895311218922,0.3833401796774727,0.671875,0.671875,64,0.75
2007-2010,qbvar/-,backcast,65,65,2.288938388259787,2.288938388259787,0.6991256182591986,1.6652652739464748,0.14679304690553235,0.7250630901912294,0.8360655737704918,0.8360655737704918,61,0.9076923076923077
2007-2010,ar2,forecast,209,209,3.9239926006137544,3.9239926006137544,1.0,2.695469618606867,1.480602574445687,0.005602181784235242,0.7024390243902439,0.7024390243902439,205,0.583732057416268
2007-2010,ar2,nowcast M1,64,64,3.6890970107955647,3.6890970107955647,1.0,2.398018532693694,1.17718952614378,0.11938661634417161,0.6666666666666666,0.6666666666666666,60,0.6875
2007-2010,ar2,nowcast M2,80,80,3.290113941584641,3.290113941584641,1.0,2.142158878081309,1.0048043123250525,0.36979581997508126,0.75,0.75,80,0.75
2007-2010,ar2,nowcast M3,64,64,3.2901139415846403,3.2901139415846403,1.0,2.1421588780813083,1.0048043123250527,0.3697958199750809,0.75,0.75,64,0.75
2007-2010,ar2,backcast,65,65,3.27400159353218,3.27400159353218,1.0,2.143499135281901,0.8568884939351177,0.3654800529964994,0.7868852459016393,0.7868852459016393,61,0.7538461538461538
2007-2010,mean,forecast,209,209,4.15325283376437,4.15325283376437,1.0584252460401573,2.8376938939198375,2.4506285823969924,-0.31639724844639494,0.7024390243902439,0.7024390243902439,205,0.6220095693779905
2007-2010,mean,nowcast M1,64,64,4.072501768378887,4.072501768378887,1.103929161109439,2.716809982080318,2.3267844822923465,-0.32247488097377874,0.6666666666666666,0.6666666666666666,60,0.6875
2007-2010,mean,nowcast M2,80,80,4.04175391956128,4.04175391956128,1.2284540874030099,2.693684693291373,2.3023130720450147,-0.20261440455084326,0.75,0.75,80,0.6875
2007-2010,mean,nowcast M3,64,64,4.04175391956128,4.04175391956128,1.2284540874030103,2.6936846932913734,2.3023130720450147,-0.20261440455084317,0.75,0.75,64,0.6875
2007-2010,mean,backcast,65,65,4.008710095762291,4.008710095762291,1.2244068859592294,2.6403845278798497,2.217222411890225,-0.11012124997547554,0.7377049180327869,0.7377049180327869,61,0.6923076923076923
2019-2021,bbvar/-,forecast,144,144,15.656386685183872,15.656386685183872,1.0960126984970482,10.000956518356737,-2.673836797761955,-0.4490026698920692,0.6597222222222222,0.6597222222222222,144,0.5208333333333334
2019-2021,bbvar/-,nowcast M1,44,44,14.242760964401603,14.242760964401603,0.9883856191593852,8.956597603284383,-2.2293695053839424,-0.09871797050366006,0.6363636363636364,0.6363636363636364,44,0.6590909090909091
2019-2021,bbvar/-,nowcast M2,55,55,5.772095281974965,5.772095281974965,0.5633445391794941,3.9324038428475836,-0.44702018604386573,0.8072246274176347,0.43636363636363634,0.43636363636363634,55,0.8181818181818182
2019-2021,bbvar/-,nowcast M3,44,44,4.660018520078127,4.660018520078127,0.45480815154927423,3.774938192457086,-0.7261594078681765,0.9160974209882301,0.45454545454545453,0.45454545454545453,44,0.8409090909090909
2019-2021,bbvar/-,backcast,45,45,3.893849598406567,3.893849598406567,0.3862869135697951,3.16102336014042,-0.1608577545157737,0.9456426332801545,0.5111111111111111,0.5111111111111111,45,0.8666666666666667
2019-2021,cbvar/authors,forecast,144,144,15.561136730933882,15.561136730933882,1.0893448024180605,9.967114233050065,-2.743024749684537,-0.38296922196163086,0.6180555555555556,0.6180555555555556,144,0.5138888888888888
2019-2021,cbvar/authors,nowcast M1,44,44,16.308153744278645,16.308153744278645,1.1317148884385921,10.793176656731042,-3.944600217413833,-0.5570775955210608,0.5681818181818182,0.5681818181818182,44,0.4090909090909091
2019-2021,cbvar/authors,nowcast M2,55,55,7.573102318642409,7.573102318642409,0.7391190940969761,5.811117101506683,-1.3928058468957976,0.6427559409314207,0.45454545454545453,0.45454545454545453,55,0.6363636363636364
2019-2021,cbvar/authors,nowcast M3,44,44,5.646933489235279,5.646933489235279,0.5511290075554748,4.470315678859727,-1.364779295623856,0.8461935678249338,0.5454545454545454,0.5454545454545454,44,0.6818181818181818
2019-2021,cbvar/authors,backcast,45,45,4.683066979437884,4.683066979437884,0.46458073015145773,3.5741822779160133,0.47388192271146057,0.9002614769016687,0.6,0.6,45,0.8444444444444444
2019-2021,lbvar/-,forecast,144,144,15.770358696854235,15.770358696854235,1.1039912170770845,10.46069421871662,-3.1961805153807834,-0.30978710348793986,0.625,0.625,144,0.5208333333333334
2019-2021,lbvar/-,nowcast M1,44,44,12.203258533364224,12.203258533364224,0.8468530274016295,8.75684078550767,-2.492458201464162,0.5131586502289505,0.6590909090909091,0.6590909090909091,44,0.6363636363636364
2019-2021,lbvar/-,nowcast M2,55,55,6.647637881385426,6.647637881385426,0.6487956826727698,4.86559865957264,-2.332740436579292,0.8005863829242121,0.5272727272727272,0.5272727272727272,55,0.6909090909090909
2019-2021,lbvar/-,nowcast M3,44,44,4.3009394249174075,4.3009394249174075,0.4197627759083004,3.277289746170055,-1.4759027093306083,0.9072595663354095,0.5227272727272727,0.5227272727272727,44,0.7727272727272727
2019-2021,lbvar/-,backcast,45,45,3.183361905478539,3.183361905478539,0.31580342644620335,2.5580009243698134,-0.22661659288941421,0.9481420155728971,0.5333333333333333,0.5333333333333333,45,0.9555555555555556
