window,modello,trimestre,mia_as_of,mia_sett,fed_as_of,fed_sett,rilascio_pil,scarto_gg,stessa_data
completo,cbvar,2015Q4,2016-01-22,17,2016-01-22,17,2016-01-28,0,True
completo,cbvar,2016Q1,2016-04-22,17,2016-04-22,17,2016-04-28,0,True
completo,cbvar,2016Q2,2016-07-22,17,2016-07-22,17,2016-07-28,0,True
completo,cbvar,2016Q3,2016-10-21,17,2016-10-21,17,2016-10-28,0,True
completo,cbvar,2016Q4,2017-01-27,17,2017-01-27,17,2017-01-28,0,True
completo,cbvar,2017Q1,2017-04-21,16,2017-04-21,16,2017-04-28,0,True
completo,cbvar,2017Q2,2017-07-21,16,2017-07-21,16,2017-07-28,0,True
completo,cbvar,2017Q3,2017-10-27,17,2017-10-27,17,2017-10-28,0,True
completo,cbvar,2017Q4,2018-01-26,17,2018-01-26,17,2018-01-28,0,True
completo,cbvar,2018Q1,2018-04-27,17,2018-04-27,17,2018-04-28,0,True
completo,cbvar,2018Q2,2018-07-27,17,2018-07-27,17,2018-07-28,0,True
completo,cbvar,2018Q3,2018-10-26,17,2018-10-26,17,2018-10-28,0,True
completo,cbvar,2018Q4,2019-01-25,17,2019-01-25,17,2019-01-28,0,True
completo,cbvar,2019Q1,2019-04-26,17,2019-04-26,17,2019-04-28,0,True
completo,cbvar,2019Q2,2019-07-26,17,2019-07-26,17,2019-07-28,0,True
completo,cbvar,2019Q3,2019-10-25,17,2019-10-25,17,2019-10-28,0,True
completo,cbvar,2019Q4,2020-01-24,17,2020-01-24,17,2020-01-28,0,True
completo,cbvar,2020Q1,2020-04-24,17,2020-04-24,17,2020-04-28,0,True
completo,cbvar,2020Q2,2020-07-24,17,2020-07-24,17,2020-07-28,0,True
completo,cbvar,2020Q3,2020-10-23,17,2020-10-23,17,2020-10-28,0,True
completo,cbvar,2020Q4,2021-01-22,17,2021-01-22,17,2021-01-28,0,True
completo,cbvar,2021Q1,2021-04-23,17,2021-04-23,17,2021-04-28,0,True
completo,cbvar,2021Q2,2021-07-23,17,2021-07-23,17,2021-07-28,0,True
completo,cbvar,2023Q1,2023-04-21,16,2023-04-21,16,2023-04-28,0,True
completo,cbvar,2023Q2,2023-07-21,16,2023-07-21,16,2023-07-28,0,True
completo,cbvar,2023Q3,2023-10-27,17,2023-10-27,17,2023-10-28,0,True
completo,cbvar,2023Q4,2024-01-26,17,2024-01-26,17,2024-01-28,0,True
completo,cbvar,2024Q1,2024-04-26,17,2024-04-26,17,2024-04-28,0,True
completo,cbvar,2024Q2,2024-07-26,17,2024-07-26,17,2024-07-28,0,True
completo,cbvar,2024Q3,2024-10-25,17,2024-10-25,17,2024-10-28,0,True
