window,trimestre,realizzato,fed,err_fed,mio_migliore,err_migliore,mio_peggiore,err_peggiore
2007-2025,2010Q3,3.1201978026194954,2.27,-0.8501978026194954,fed_overlap/student_t_ar1_shared,-0.057516146663760814,fed_overlap/gaussian,0.7948535132670247
2007-2025,2010Q4,2.117043484228409,2.9,0.7829565157715908,fed_overlap/student_t,0.2950924059103688,fed_overlap/gaussian_ar1,0.8680211790278447
2007-2025,2011Q1,-0.9454489541211974,4.37,5.315448954121198,fed_overlap/student_t,3.2785715841856633,fed_overlap/gaussian_ar1,4.100633252909535
2007-2025,2011Q2,2.7339190839842376,3.17,0.4360809160157624,fed_overlap/student_t_ar1_shared,-0.09715696446230826,fed_overlap/student_t,-0.7449520619287939
2007-2025,2011Q3,-0.0892210766206935,2.09,2.1792210766206934,fed_overlap/student_t_ar1_shared,3.0561523436022475,fed_overlap/gaussian,3.7493456922770614
2007-2025,2011Q4,4.568438742179692,3.22,-1.3484387421796922,fed_overlap/student_t_ar1,-0.8034689467229184,fed_overlap/student_t_ar1_shared,-1.0851429941153512
2007-2025,2012Q1,3.396793738645587,3.28,-0.11679373864558729,fed_overlap/gaussian,0.033424657251379664,fed_overlap/student_t_ar1_shared,-0.7705832385099587
2007-2025,2012Q2,1.7973274732638431,2.88,1.0826725267361568,fed_overlap/gaussian,1.1012699529438843,fed_overlap/gaussian_ar1,1.4212637218716575
2007-2025,2012Q3,0.5773578286532466,1.64,1.0626421713467533,fed_overlap/student_t_ar1_shared,1.0924355697756738,fed_overlap/student_t,1.7390960513646858
2007-2025,2012Q4,0.4633651980530562,2.66,2.196634801946944,fed_overlap/student_t_ar1_shared,2.0518087332848323,fed_overlap/student_t,2.2691693028204396
2007-2025,2013Q1,4.005025807945661,3.83,-0.17502580794566125,fed_overlap/student_t_ar1_shared,-0.9305870706286079,fed_overlap/student_t_ar1,-1.016960092898267
2007-2025,2013Q2,1.0748507650766292,1.95,0.8751492349233707,fed_overlap/gaussian_ar1,1.324564879717216,fed_overlap/student_t,1.6846175746856988
2007-2025,2013Q3,3.4493139225505898,2.15,-1.2993139225505899,fed_overlap/student_t_ar1_shared,-0.43633996679475207,fed_overlap/gaussian,-0.8912512442487808
2007-2025,2013Q4,3.532828598657445,3.42,-0.11282859865744488,fed_overlap/student_t,-0.5521277821102899,fed_overlap/student_t_ar1,-0.9003815507295565
2007-2025,2014Q1,-1.3732548917761769,2.23,3.603254891776177,fed_overlap/gaussian,4.271233702291299,fed_overlap/gaussian_ar1,4.555082263518329
2007-2025,2014Q2,5.268365026582655,3.07,-2.1983650265826555,fed_overlap/student_t_ar1_shared,-0.796734727006343,fed_overlap/student_t,-1.43519838533952
2007-2025,2014Q3,4.950916534930627,2.2,-2.750916534930627,fed_overlap/student_t,-2.265233358086371,fed_overlap/student_t_ar1,-2.7649399192600344
