window,n_trimestri,metodo,n,n_com,RMSE,RMSE_com,RMSE_rel_ar2,MAE,Bias,corr,MDA,MDA_com,n_dir,SignAcc
2007-2021,54,fed_overlap/student_t,1622,1173,5.446805850089843,4.720339086886492,0.6765129037816063,2.4650235280864297,0.5675792808080716,0.6428451371980686,0.7898640296662547,0.7877237851662404,1618,0.8754623921085081
2007-2021,54,fed_overlap/student_t_ar1,1622,1173,5.425377351198428,4.611768411638074,0.6738514070424718,2.4929358217180733,0.6393634751700429,0.6121005556605977,0.7737948084054388,0.7860187553282183,1618,0.8680641183723797
2007-2021,54,fed_overlap/student_t_ar1_shared,1622,1173,5.415767200067802,4.560929017720294,0.6726577916601552,2.4916585706865777,0.7440890218094947,0.6247522367698644,0.7762669962917181,0.7843137254901961,1618,0.872996300863132
2007-2021,54,nyfed,1174,1174,4.842476157035694,4.842476157035694,0.6014529793521785,2.3069765537288838,0.12751972664357805,0.6876080522178135,0.7504258943781942,0.7504258943781942,1174,0.8867120954003407
2007-2021,54,ar2,1622,1173,8.051296316216602,8.255678561634097,1.0,3.4823409970510357,-0.1764562289291865,-0.29764191709928883,0.7088998763906057,0.6956521739130435,1618,0.8076448828606658
2007-2021,54,mean,1622,1173,6.689299811998114,6.605021978678551,0.8308351288133305,3.014973305746741,0.6715085383401315,-0.2558764542836306,0.7428924598269468,0.7289002557544757,1618,0.8335388409371147
2007-2025,66,fed_overlap/gaussian,1983,1371,4.993061462766766,4.295257559550037,0.681293163865532,2.354533790464952,0.22350772841253955,0.5851493255487271,0.7776654876200101,0.7848285922684172,1979,0.8714069591527988
2007-2025,66,fed_overlap/gaussian_ar1,1983,1371,5.1623077699143325,4.496982815494217,0.7043864810475778,2.4356342750905022,0.3410519511856169,0.5348414614512484,0.7665487620010106,0.7680525164113785,1979,0.8719112455874937
2007-2025,66,fed_overlap/student_t,1983,1371,5.007891141893874,4.432747631874358,0.6833166436658427,2.330870926559225,0.288358219064877,0.6249947372912708,0.7685699848408287,0.7760758570386579,1979,0.880988401412002
2007-2025,66,fed_overlap/student_t_ar1,1983,1371,4.993175697237983,4.3464420102584125,0.6813087509286792,2.374634324150165,0.3137032931428477,0.5919185139417803,0.7589691763516928,0.7687819110138585,1979,0.8734241048915784
