window,metodo,n,diff_media,diff_sd,corr_fed,RMSE,RMSE_fed,quota_meglio
2007-2021,mean,59,0.6067700708272583,3.1617075658146327,-0.2147353022388107,6.433219378892685,3.793985354850616,0.3898305084745763
2007-2025,fed_overlap/gaussian,70,0.09449380554039173,1.666652995514384,0.9019800917392929,2.986096174764901,3.551653931588357,0.4857142857142857
2007-2025,fed_overlap/gaussian_ar1,70,0.39516756073944465,1.5986046173981219,0.8834211727026566,3.4089747386468727,3.551653931588357,0.4714285714285714
2007-2025,fed_overlap/student_t,70,0.05029243399276734,1.1931137883822645,0.9181667135978446,3.4762360966874613,3.551653931588357,0.5428571428571428
2007-2025,fed_overlap/student_t_ar1,70,0.28656310838805754,1.7148481864703355,0.901112666700259,3.006677176286409,3.551653931588357,0.5
2007-2025,fed_overlap/student_t_ar1_shared,70,0.32091953040339266,1.2126478192283319,0.9295368724388914,3.439249202498756,3.551653931588357,0.5
2007-2025,ar2,70,-0.37565393164848515,4.890717746404762,-0.31976212906384227,7.907541504523411,3.551653931588357,0.5
2007-2025,mean,70,0.5796454444149427,2.9063673520238846,-0.20641607862414568,5.9370664140848595,3.551653931588357,0.42857142857142855
2007-2010,fed_overlap/gaussian,16,-0.15646360433677356,1.3890213032727823,0.9273750741472212,2.2730719898890532,2.0182205915258935,0.4375
2007-2010,fed_overlap/gaussian_ar1,16,-0.2645895506984097,1.4683825680632254,0.9263484935258978,2.3608134021125613,2.0182205915258935,0.375
2007-2010,fed_overlap/student_t,16,-0.09996239564086598,1.169965128726148,0.925816954401573,2.193351695744975,2.0182205915258935,0.625
2007-2010,fed_overlap/student_t_ar1,16,-0.1008195877521991,1.4056828818808884,0.9396049587510151,2.415726196430884,2.0182205915258935,0.3125
2007-2010,fed_overlap/student_t_ar1_shared,16,-0.07427241128748083,1.1629564082106576,0.9524325065180856,2.344572907308293,2.0182205915258935,0.3125
2007-2010,ar2,16,-0.13000470181404544,2.5554425235439604,0.3944215905257973,3.2968019104769595,2.0182205915258935,0.5625
2007-2010,mean,16,1.2577850648341804,2.640955479858243,-0.2603302731215418,4.039047436896633,2.0182205915258935,0.375
2019-2021,fed_overlap/gaussian,11,0.6109521955185877,3.4766881633546007,0.9243554175262453,6.083227488769242,7.950336795401954,0.6363636363636364
2019-2021,fed_overlap/gaussian_ar1,11,1.6860279375130234,2.882920464062391,0.9205885404678162,7.266896353218066,7.950336795401954,0.45454545454545453
2019-2021,fed_overlap/student_t,11,0.17410265337106506,2.125161130882516,0.9485582431042411,7.66268640876164,7.950336795401954,0.5454545454545454
2019-2021,fed_overlap/student_t_ar1,11,1.1893613898759845,3.395947583573964,0.930357395563689,6.010251302981007,7.950336795401954,0.5454545454545454
2019-2021,fed_overlap/student_t_ar1_shared,11,0.8229532906812959,1.8719042753286768,0.9664861158587751,7.415345359893205,7.950336795401954,0.5454545454545454
2019-2021,ar2,11,-2.7636898780953056,11.990509183591215,-0.523134451821816,19.246082008778878,7.950336795401954,0.45454545454545453
2019-2021,mean,11,0.7657840770443155,6.649458546734949,-0.5753492260190962,13.803243192512587,7.950336795401954,0.36363636363636365
2024-2025,fed_overlap/gaussian,8,-0.04207373566782949,1.409723905978771,-0.24906357813450197,2.1641864453372586,1.7918118552845508,0.625
2024-2025,fed_overlap/gaussian_ar1,8,-0.02825936424888839,1.3789460314329518,-0.24734886176224005,2.1321284966752616,1.7918118552845508,0.625
2024-2025,fed_overlap/student_t,8,-0.04817510278805809,1.0656011493425357,-0.1878841341118737,2.010487151370159,1.7918118552845508,0.625
