window,metodo,target_quarter,as_of,horizon_week,nowcast_bea,realizzato_bea,gdp_release_date,errore
2007-2021,ar2,2014Q2,2014-07-25,17,1.66356986942775,5.268365026582655,2014-07-28,-3.6047951571549053
2007-2021,ar2,2014Q3,2014-10-24,17,2.30832500393634,4.950916534930627,2014-10-28,-2.642591530994287
2007-2021,ar2,2014Q4,2015-01-23,17,3.964219661690316,2.0383303103057804,2015-01-28,1.9258893513845354
2007-2021,ar2,2015Q1,2015-04-24,17,3.037860095512812,3.650885031119766,2015-04-28,-0.6130249356069539
2007-2021,ar2,2015Q2,2015-07-24,17,2.82140022122388,2.500735310964308,2015-07-28,0.320664910259572
2007-2021,ar2,2015Q3,2015-10-23,17,2.8768029402775896,1.61061768429811,2015-10-28,1.2661852559794797
2007-2021,ar2,2015Q4,2016-01-22,17,2.348588574603005,0.7399609712167354,2016-01-28,1.6086276033862696
2007-2021,ar2,2016Q1,2016-04-22,17,1.879010767415168,2.3383061524439253,2016-04-28,-0.45929538502875733
2007-2021,ar2,2016Q2,2016-07-22,17,2.1323881431003944,1.290696770237454,2016-07-28,0.8416913728629403
2007-2021,ar2,2016Q3,2016-10-21,17,2.2028247351614016,2.8678981414693494,2016-10-28,-0.6650734063079478
2007-2021,ar2,2016Q4,2017-01-27,17,2.4042503412813554,2.235699518586598,2017-01-28,0.1685508226947574
2007-2021,ar2,2017Q1,2017-04-21,16,2.597922605253289,1.9618307902452337,2017-04-28,0.6360918150080552
2007-2021,ar2,2017Q2,2017-07-21,16,2.3679826302139384,2.258367983115228,2017-07-28,0.10961464709871027
2007-2021,ar2,2017Q3,2017-10-27,17,2.3857473354722103,3.1915992394406345,2017-10-28,-0.8058519039684242
2007-2021,ar2,2017Q4,2018-01-26,17,2.7219950445339203,4.584974811729059,2018-01-28,-1.8629797671951387
2007-2021,ar2,2018Q1,2018-04-27,17,3.3431957850877936,3.293553047698339,2018-04-28,0.049642737389454794
2007-2021,ar2,2018Q2,2018-07-27,17,3.3034759007953607,2.140266992640893,2018-07-28,1.1632089081544676
2007-2021,ar2,2018Q3,2018-10-26,17,2.6709623088313483,2.5182268082057035,2018-10-28,0.15273550062564478
2007-2021,ar2,2018Q4,2019-01-25,17,2.512598416759926,0.5677817986818878,2019-01-28,1.944816618078038
2007-2021,ar2,2019Q1,2019-04-26,17,2.032211278785878,2.520756202743435,2019-04-28,-0.4885449239575568
2007-2021,ar2,2019Q2,2019-07-26,17,2.135412033584516,3.382664959003589,2019-07-28,-1.247252925419073
2007-2021,ar2,2019Q3,2019-10-25,17,2.840725874329819,4.762784209178728,2019-10-28,-1.9220583348489084
2007-2021,ar2,2019Q4,2020-01-24,17,3.438357578058948,2.755535957854649,2020-01-28,0.6828216202042992
2007-2021,ar2,2020Q1,2020-04-24,17,3.176729956837687,-5.16223383893778,2020-04-28,8.338963795775467
2007-2021,ar2,2020Q2,2020-07-24,17,0.3034144098293501,-27.97614656719044,2020-07-28,28.27956097701979
2007-2021,ar2,2020Q3,2020-10-23,17,-19.350866856141312,34.85500597467652,2020-10-28,-54.20587283081784
2007-2021,ar2,2020Q4,2021-01-22,17,-9.735638262251468,4.611736044615711,2021-01-28,-14.347374306867179
2007-2021,ar2,2021Q1,2021-04-23,17,0.4068421842126302,5.701255644273506,2021-04-28,-5.294413460060876
2007-2021,ar2,2021Q2,2021-07-23,17,2.1496247269456648,6.983331307653917,2021-07-28,-4.833706580708252
2007-2021,fed_overlap/gaussian,2006Q4,2007-01-26,17,2.5347578434665063,3.4823729200428755,2007-01-28,-0.9476150765763691
2007-2021,fed_overlap/gaussian,2007Q1,2007-04-27,17,3.732135771542744,1.2087836914185912,2007-04-28,2.5233520801241527
2007-2021,fed_overlap/gaussian,2007Q2,2007-07-27,17,3.806960370363832,2.4695947150627617,2007-07-28,1.3373656553010704
2007-2021,fed_overlap/gaussian,2007Q3,2007-10-26,17,2.23685450945581,2.3240880884577653,2007-10-28,-0.08723357900195516
2007-2021,fed_overlap/gaussian,2007Q4,2008-01-25,17,2.5993788177590016,2.5367271478347497,2008-01-28,0.06265166992425186
2007-2021,fed_overlap/gaussian,2008Q1,2008-04-25,17,1.5708549593238308,-1.6961606735480972,2008-04-28,3.267015632871928
2007-2021,fed_overlap/gaussian,2008Q2,2008-07-25,17,-0.594416360351635,2.403069701864058,2008-07-28,-2.997486062215693
2007-2021,fed_overlap/gaussian,2008Q3,2008-10-24,17,-1.999380854156652,-2.0845363314131338,2008-10-28,0.08515547725648176
2007-2021,fed_overlap/gaussian,2008Q4,2009-01-23,17,-3.1601535595654595,-8.472768957225274,2009-01-28,5.312615397659814
2007-2021,fed_overlap/gaussian,2009Q1,2009-04-24,17,-6.476274467944143,-4.462803810727223,2009-04-28,-2.01347065721692
2007-2021,fed_overlap/gaussian,2009Q2,2009-07-24,17,-1.882729879851708,-0.7126911125331037,2009-07-28,-1.1700387673186043
2007-2021,fed_overlap/gaussian,2009Q3,2009-10-23,17,4.549980750833682,1.412187087697636,2009-10-28,3.137793663136046
2007-2021,fed_overlap/gaussian,2009Q4,2010-01-22,17,4.525808048428792,4.394263592305325,2010-01-28,0.13154445612346688
2007-2021,fed_overlap/gaussian,2010Q1,2010-04-23,17,4.987676743275515,1.952133820572155,2010-04-28,3.0355429227033603
2007-2021,fed_overlap/gaussian,2010Q2,2010-07-23,17,4.690078322144986,3.926881074055233,2010-07-28,0.7631972480897531
2007-2021,fed_overlap/gaussian,2010Q3,2010-10-22,17,3.91505131588652,3.1201978026194954,2010-10-28,0.7948535132670247
2007-2021,fed_overlap/gaussian,2010Q4,2011-01-21,17,2.556718358812016,2.117043484228409,2011-01-28,0.439674874583607
2007-2021,fed_overlap/gaussian,2011Q1,2011-04-22,16,2.616971066461704,-0.9454489541211974,2011-04-28,3.5624200205829015
2007-2021,fed_overlap/gaussian,2011Q2,2011-07-22,17,2.2465002750120533,2.7339190839842376,2011-07-28,-0.48741880897218426
2007-2021,fed_overlap/gaussian,2011Q3,2011-10-21,17,3.660124615656368,-0.0892210766206935,2011-10-28,3.7493456922770614
2007-2021,fed_overlap/gaussian,2011Q4,2012-01-27,17,3.5896897910361325,4.568438742179692,2012-01-28,-0.9787489511435599
2007-2021,fed_overlap/gaussian,2012Q1,2012-04-27,17,3.4302183958969668,3.396793738645587,2012-04-28,0.033424657251379664
2007-2021,fed_overlap/gaussian,2012Q2,2012-07-27,17,2.8985974262077274,1.7973274732638431,2012-07-28,1.1012699529438843
2007-2021,fed_overlap/gaussian,2012Q3,2012-10-26,17,2.083363557905349,0.5773578286532466,2012-10-28,1.5060057292521023
2007-2021,fed_overlap/gaussian,2012Q4,2013-01-25,17,2.691186913465904,0.4633651980530562,2013-01-28,2.2278217154128477
2007-2021,fed_overlap/gaussian,2013Q1,2013-04-26,17,3.038618931124093,4.005025807945661,2013-04-28,-0.9664068768215683
2007-2021,fed_overlap/gaussian,2013Q2,2013-07-26,17,2.6844452273651958,1.0748507650766292,2013-07-28,1.6095944622885665
