window,trimestre,realizzato,fed,err_fed,mio_migliore,err_migliore,mio_peggiore,err_peggiore
2007-2019,2011Q1,-0.9454489541211974,4.37,5.315448954121198,diag3/student_t_ar1_shared,5.334209848281867,diag3/gaussian,5.9774193361858625
2007-2019,2011Q2,2.7339190839842376,3.17,0.4360809160157624,diag3/gaussian_ar1,1.4146946871488542,diag3/gaussian,1.8975525091556644
2007-2019,2011Q3,-0.0892210766206935,2.09,2.1792210766206934,diag3/gaussian_ar1,2.638874428569482,diag3/gaussian,3.348866582452492
2007-2019,2011Q4,4.568438742179692,3.22,-1.3484387421796922,diag3/student_t_ar1,-1.4948047993528442,diag3/gaussian,-1.7170167690976563
2007-2019,2012Q1,3.396793738645587,3.28,-0.11679373864558729,diag3/gaussian,-0.022315325641030892,diag3/student_t_ar1_shared,-0.4762928373538422
2007-2019,2012Q2,1.7973274732638431,2.88,1.0826725267361568,diag3/student_t,1.3882600951559356,diag3/student_t_ar1_shared,1.590628945941219
2007-2019,2012Q3,0.5773578286532466,1.64,1.0626421713467533,diag3/gaussian_ar1,1.4107934120427543,diag3/student_t,2.0763837009036172
2007-2019,2012Q4,0.4633651980530562,2.66,2.196634801946944,diag3/student_t_ar1_shared,2.0162438248339636,diag3/student_t,2.1629032435759976
2007-2019,2013Q1,4.005025807945661,3.83,-0.17502580794566125,diag3/student_t_ar1,-1.0534083877777651,diag3/student_t,-1.2040925687067716
2007-2019,2013Q2,1.0748507650766292,1.95,0.8751492349233707,diag3/student_t_ar1_shared,1.0595567173682374,diag3/student_t,1.4699237017020472
2007-2019,2013Q3,3.4493139225505898,2.15,-1.2993139225505899,diag3/student_t_ar1_shared,-0.28118803554044725,diag3/student_t,-0.426031993803222
2007-2019,2013Q4,3.532828598657445,3.42,-0.11282859865744488,diag3/student_t,-0.017128788808484785,diag3/student_t_ar1_shared,-0.35211581573342254
2007-2019,2014Q1,-1.3732548917761769,2.23,3.603254891776177,diag3/student_t,4.520618236103391,diag3/student_t_ar1,4.764688584874754
2007-2019,2014Q2,5.268365026582655,3.07,-2.1983650265826555,diag3/student_t_ar1_shared,-1.3515190598780924,diag3/student_t,-1.9691323529454237
2007-2019,2014Q3,4.950916534930627,2.2,-2.750916534930627,diag3/gaussian,-1.0391368434982784,diag3/student_t_ar1_shared,-1.889488000806927
2007-2019,2014Q4,2.0383303103057804,2.56,0.5216696896942197,diag3/student_t_ar1_shared,1.455455966237551,diag3/gaussian,1.9047861622395685
2007-2019,2015Q1,3.650885031119766,0.64,-3.010885031119766,diag3/gaussian,-0.6018240145896803,diag3/student_t_ar1,-1.545754769924046
