target,realizzato,settimana,metodo,nowcast,errore,quota_catturata
2008Q4,-8.472768957225274,17,cbvar/authors,-4.31690946687519,4.155859490350084,0.5095039754617509
2008Q4,-8.472768957225274,17,diag3/gaussian,0.2370374500733296,8.709806407298602,-0.027976385437867107
2008Q4,-8.472768957225274,17,diag3/gaussian_ar1,-2.16616304515983,6.306605912065443,0.2556617625354465
2008Q4,-8.472768957225274,17,diag3/student_t,0.5648705092512918,9.037639466476566,-0.06666893811256241
2008Q4,-8.472768957225274,17,diag3/student_t_ar1,-1.3527230625609787,7.120045894664295,0.15965536997293253
2008Q4,-8.472768957225274,17,diag3/student_t_ar1_shared,-0.5051800661523109,7.967588891072962,0.05962396339410524
2008Q4,-8.472768957225274,17,diag4/gaussian,-3.4693542709481218,5.003414686277152,0.40947112903268545
2008Q4,-8.472768957225274,17,diag4/gaussian_ar1,-3.606218257538163,4.86655069968711,0.42562452437262666
2008Q4,-8.472768957225274,17,diag4/student_t,-3.0826639388468857,5.390105018378388,0.3638319366914992
2008Q4,-8.472768957225274,17,diag4/student_t_ar1,-3.58236156487719,4.8904073923480835,0.42280883415595566
2008Q4,-8.472768957225274,17,diag4/student_t_ar1_shared,-3.2399921467790693,5.232776810446204,0.3824006252426039
2008Q4,-8.472768957225274,17,fed_overlap/gaussian,-3.1601535595654595,5.312615397659814,0.37297766238162244
2008Q4,-8.472768957225274,17,fed_overlap/gaussian_ar1,-3.186901847588264,5.28586710963701,0.3761346336336232
2008Q4,-8.472768957225274,17,fed_overlap/student_t,-2.8263707167819674,5.646398240443306,0.33358288548299664
2008Q4,-8.472768957225274,17,fed_overlap/student_t_ar1,-3.321073686979159,5.1516952702461145,0.3919702878416231
2008Q4,-8.472768957225274,17,fed_overlap/student_t_ar1_shared,-3.1854505400808253,5.287318417144448,0.3759633428177441
2008Q4,-8.472768957225274,17,lbvar/-,-5.958474262945623,2.5142946942796502,0.7032499402529382
2008Q4,-8.472768957225274,17,nyfed,-3.47,5.002768957225273,0.4095473413140705
2008Q4,-8.472768957225274,17,qbvar/-,-3.9922079804627697,4.480560976762504,0.47118102719635213
2008Q4,-8.472768957225274,17,ar2,1.973709429524506,10.44647838674978,-0.2329473917545453
2008Q4,-8.472768957225274,17,mean,3.016905506111378,11.489674463336652,-0.35607078646215995
2021Q4,7.0416786109130936,17,bbvar/-,5.3837939463277085,-1.657884664585385,0.7645611570491134
2021Q4,7.0416786109130936,17,cbvar/authors,3.130241643980125,-3.9114369669329685,0.4445306037013562
2021Q4,7.0416786109130936,17,diag3/gaussian,6.109612714050194,-0.9320658968628992,0.8676358367991409
2021Q4,7.0416786109130936,17,diag3/gaussian_ar1,5.292270965606938,-1.7494076453061558,0.7515638327209441
2021Q4,7.0416786109130936,17,diag3/student_t,4.402987486089516,-2.638691124823578,0.6252752687783604
2021Q4,7.0416786109130936,17,diag3/student_t_ar1,6.653119782002936,-0.38855882891015714,0.9448201415628407
2021Q4,7.0416786109130936,17,diag3/student_t_ar1_shared,6.157911783733416,-0.8837668271796773,0.874494864646332
2021Q4,7.0416786109130936,17,diag4/gaussian,4.156907113384611,-2.884771497528482,0.590329002937211
2021Q4,7.0416786109130936,17,diag4/gaussian_ar1,5.062431581176985,-1.9792470297361087,0.718923975503696
2021Q4,7.0416786109130936,17,diag4/student_t,3.852587635402527,-3.1890909755105668,0.547112108955362
2021Q4,7.0416786109130936,17,diag4/student_t_ar1,4.397203119331006,-2.644475491582088,0.624453821637966
2021Q4,7.0416786109130936,17,diag4/student_t_ar1_shared,5.880819465445475,-1.1608591454676187,0.8351445429973848
2021Q4,7.0416786109130936,17,fed_overlap/gaussian,2.745448404751061,-4.296230206162033,0.3898855026550351
2021Q4,7.0416786109130936,17,fed_overlap/gaussian_ar1,4.903868726914951,-2.137809883998143,0.6964062119101835
2021Q4,7.0416786109130936,17,fed_overlap/student_t,2.614614510576163,-4.42706410033693,0.3713055728678203
2021Q4,7.0416786109130936,17,fed_overlap/student_t_ar1,3.397828420507376,-3.6438501904057174,0.4825310282183952
2021Q4,7.0416786109130936,17,fed_overlap/student_t_ar1_shared,3.635897448569314,-3.4057811623437795,0.516339590241232
2021Q4,7.0416786109130936,17,lbvar/-,4.1742717231453845,-2.867406887767709,0.5927949788387328
2021Q4,7.0416786109130936,17,qbvar/-,2.545791643573403,-4.495886967339691,0.36153192785992405
2021Q4,7.0416786109130936,17,ar2,2.498942058122311,-4.542736552790783,0.35487874357819826
2021Q4,7.0416786109130936,17,mean,2.632229777448325,-4.409448833464769,0.37380714498513645
