window,fase,metodo,n,RMSE,MAE,Bias,corr,MDA,n_dir,SignAcc,RMSE_rel_ar2,RMSE_rel_mean
2007-2010,nowcast M2,diag4/gaussian,70,2.3114440605945146,1.6907862250616847,0.9850947784323008,0.8019472667978612,0.8714285714285714,70,0.8571428571428571,0.6626251483744321,0.5394367141604355
2007-2010,nowcast M2,diag4/gaussian_ar1,70,2.364851834818031,1.745572077346927,0.6897313818349669,0.7730442029618082,0.9428571428571428,70,0.8571428571428571,0.6779356354082837,0.5519008333355048
2007-2010,nowcast M2,diag4/student_t,70,2.3679378090251473,1.6511307469805427,1.1898984539417345,0.810683611693299,0.8285714285714286,70,0.8571428571428571,0.6788202962796976,0.5526210271808374
2007-2010,nowcast M2,diag4/student_t_ar1,70,2.3420538537029665,1.684725702826516,0.8409082109077719,0.783435611172568,0.9428571428571428,70,0.8571428571428571,0.6714001038431713,0.5465803204008163
2007-2010,nowcast M2,diag4/student_t_ar1_shared,70,2.4053142137840644,1.7018798062098675,0.9783237892932366,0.7772541526813037,0.9,70,0.8571428571428571,0.6895350464963697,0.5613438015338947
2007-2010,nowcast M2,fed_overlap/gaussian,70,2.14933642685676,1.558033199185258,0.6820161780676279,0.8108949077961589,0.9142857142857143,70,0.8285714285714286,0.6161535089827006,0.5016046027221315
2007-2010,nowcast M2,fed_overlap/gaussian_ar1,70,2.351970987205666,1.74145159458695,0.6720159904857691,0.7685307752658207,0.9428571428571428,70,0.8428571428571429,0.6742430634331106,0.5488947462620292
2007-2010,nowcast M2,fed_overlap/student_t,70,2.243222053539594,1.5352133072537109,0.9168670310300346,0.8222659792334936,0.9571428571428572,70,0.8714285714285714,0.6430678429142509,0.5235153012452248
2007-2010,nowcast M2,fed_overlap/student_t_ar1,70,2.3688583486782573,1.6549152169198313,1.033924956104171,0.7908785847045781,0.9,70,0.8571428571428571,0.6790841887677856,0.5528358594989512
2007-2010,nowcast M2,fed_overlap/student_t_ar1_shared,70,2.318346944450383,1.6386664051980293,1.168292545206364,0.8188530546336844,0.9285714285714286,70,0.8571428571428571,0.6646040084806246,0.5410476850028287
2007-2010,nowcast M2,lbvar/-,70,3.18644876805503,2.3739994223211576,-0.4538771286209371,0.43775541565697546,0.7857142857142857,70,0.7714285714285715,0.9134640650472514,0.7436422462406757
2007-2010,nowcast M2,qbvar/-,70,3.3258919671315343,2.3362358942313297,0.4216978825459562,0.3442414177415724,0.7285714285714285,70,0.7142857142857143,0.9534384568368189,0.7761850113476546
2007-2010,nowcast M2,ar2,70,3.4883132133831696,2.278814721647553,0.9789809322118325,0.35280617125642455,0.7857142857142857,70,0.7142857142857143,1.0,0.8140903125753598
2007-2010,nowcast M2,mean,70,4.284921659794667,2.8901808170022183,2.4428989641492387,-0.21032268111045566,0.7142857142857143,70,0.6428571428571429,1.2283649425043743,1.0
2007-2010,nowcast M3,bbvar/-,56,2.499379232585556,1.628830972496175,0.4775095877919406,0.7112813023483574,0.8571428571428571,56,0.9464285714285714,0.7165008070366228,0.5832963659609417
2007-2010,nowcast M3,cbvar/authors,56,2.128561739318114,1.5676393062531162,-0.25267160574279696,0.8209392937189368,0.9107142857142857,56,0.9285714285714286,0.6101979980328976,0.4967562789514603
2007-2010,nowcast M3,diag3/gaussian,56,3.0668800400035297,2.0078150823824155,1.7029683155076771,0.6899263701594482,0.6428571428571429,56,0.7857142857142857,0.8791871177843834,0.7157377155293182
2007-2010,nowcast M3,diag3/gaussian_ar1,56,2.8860102187827703,2.1367594705665645,0.9305907163676922,0.6896376850195505,0.7857142857142857,56,0.8571428571428571,0.8273368938633092,0.6735269505303084
