,PAYEMS,CPIAUCSL,DGORDER,RSAFS,HSN1F,HOUST,UNRATE,INDPRO,PPIFIS,USPRIV,GACDISA066MSFRBNY,WHLSLRIMSA,TTLCONS,GACDFSA066MSFRBPHI,IR,PERMIT,TCU,PCEPILFE,CPILFESL,BUSINV,JTSJOL,PCEC96,PCEPI,IQ,AMDMVS,AMTMUO,AMDMTI,DSPIC96,BOPTEXP,BOPTIMP,ISM_PMI,ISM_PRICES,ISM_EMP,ISM_NMI,ULCNFB,A261RX1Q020SBEA,GDPC1
2009-01-31,-768.0,0.2527574332267035,-14.034451400658845,1.5338989379036672,-11.513402748480651,-13.353139262452263,0.5,-2.5259180320142356,,-791.0,-26.5,-1.0875948492599117,-2.4354903804035453,-31.1,-1.31870042819538,-9.0,-1.8765999999999963,-0.030718296400058624,0.193888208923679,-1.2339139465163076,-408.0,0.4528729250636894,0.011350351305560882,0.6884708777497013,-7.516359086695753,-2.1471107593300514,-0.48117130005980585,0.5898525436612168,-5.060642777075911,-6.434235059246552,35.6,29.0,28.8,42.9,,,
2009-02-28,-761.0,0.36360422314449575,-1.5011001423880923,-0.42876982197212304,10.178269430994238,17.206505662676555,0.5000000000000009,-0.6104174649481385,,-758.0,-34.1,-1.8523774117141671,-0.34836564994802277,-39.6,0.0,13.0,-0.497799999999998,0.07962055540793998,0.2049925109650162,-1.4800092701997782,126.0,-0.41063769216454005,0.17916477742186973,-0.2576214391773252,-0.1693586374179268,-2.441623393814619,-1.2657542952468153,-0.9722310093798007,1.6169585003757532,-5.310515356597715,35.8,29.0,25.5,41.6,,,
2009-03-31,-824.0,-0.09877705412728337,-1.701508404219261,-1.7640739485922348,-9.289374689269634,-14.191201845607795,0.3999999999999986,-1.577969562595754,,-808.0,-33.7,-1.883572408385931,-0.8178806542985213,-34.4,0.5295687574710283,-45.0,-1.1437000000000097,0.07160433796310704,0.2114461451267061,-1.4454943700550802,-330.0,-0.4132330290322217,-0.10995551877228107,-0.6902529562770463,-2.128180206287348,-2.351452452127655,-2.099524116138833,0.006534719785384336,-1.1148773428547527,0.11348104279244725,36.3,31.0,28.6,40.8,-15.44257267035678,-6.655343409924212,-4.565452543960741
2009-04-30,-672.0,0.10065757521972496,0.7787915055756429,0.5221378970278248,-0.5917177028088507,-5.49476967839039,0.3000000000000007,-0.8325115063071317,,-789.0,-19.4,-1.5128443787306358,-3.3026692879634916,-25.2,1.0507977598415164,8.0,-0.6126999999999896,0.2224417291635109,0.20734218189358256,-1.347990163487488,-239.0,-0.1498695693245047,0.14280535566806568,0.5181358741997585,-3.129091092249742,-1.6541234368872313,-1.252226121509033,0.6294117111907035,-0.9228156719454131,-0.598513908784546,40.1,32.0,33.2,43.7,,,
2009-05-31,-356.0,0.14704123326470167,1.2051830613801189,0.8253876690958211,10.95062130375329,12.195840706686404,0.40000000000000036,-1.0150910930024282,,-296.0,-5.9,-1.2648699888424333,-1.3454439445375375,-22.4,1.7271586508660717,35.0,-0.7086000000000041,0.07705819407881023,0.09049153973236794,-1.1023029485409872,254.0,0.09121245456530203,0.10414191407717678,0.4297385212546173,-1.744086104567575,-1.1783224306097755,-1.3460191076216537,1.4512686170881888,1.5789280502520815,-1.5562533564659413,42.8,43.5,34.8,44.0,,,
2009-06-30,-458.0,0.8265359855441612,-1.4999201168501015,1.5824660740805334,4.422046847936674,8.004270767353635,0.09999999999999964,-0.37759360437510653,,-417.0,-9.7,-1.3009343483069802,-0.8174447308681254,0.2,2.7028672387919417,45.0,-0.25379999999999825,0.12792140805148444,0.09497370672974598,-1.2888885236701055,-46.0,0.02707678994123111,0.5922216531706185,1.0238997301094286,-0.16973786297966204,-1.4505451479714906,-2.1180169310682304,-1.8318620859497234,1.8950902316687654,2.4128435506056074,44.8,50.0,40.7,47.0,1.3333852395317696,1.391845061703547,-0.7152428870508096
2009-07-31,-346.0,-0.029800985515629996,4.428704182166503,0.4334010391194837,4.478360262697344,1.526747213078838,0.0,1.1226962849123383,,-291.0,-0.1,-1.5252684056344112,-0.11973895709469651,-6.6,-0.5850413678175589,-6.0,0.7762000000000029,0.08594368956012412,0.06889079257348402,-1.2048153739967749,-271.0,0.33334565445409536,0.011246443324155298,-0.34013638234901783,2.1688864344381242,-1.048391635770607,-0.8735911218135254,-0.44504583111029566,1.5846567257414945,5.1388095814784815,48.9,55.0,47.1,46.4,,,
2009-08-31,-190.0,0.334285979088001,2.44115213545754,1.7574748009665058,1.6888218028521795,-1.3559529785632363,0.09999999999999964,1.0907281117748377,,-206.0,12.6,-1.2406180750960514,-1.2504372031413418,8.9,1.4975321455176065,21.0,0.7894999999999897,0.14796661591497007,0.10620865755576088,-1.2715569241042113,106.0,0.8945220171859496,0.2897218228523668,0.5944815809320386,0.7357858853110986,-0.7827667749304367,-1.36252357399774,-0.19579337362577814,0.4952454539819291,-0.6400756865628052,52.9,65.0,46.1,48.4,,,
2009-09-30,-226.0,0.1929025466835424,0.3498878478362299,-2.5614895554130572,-7.96440630599254,-0.17079423451561473,0.20000000000000107,0.8775750967465086,,-140.0,20.9,-1.1704670147967553,-1.4402552253480927,15.2,0.16501653909579253,-7.0,0.6754000000000104,0.17591939311424137,0.1929834742433491,-0.48206747004844175,149.0,-0.9260071721955816,0.16134095733100187,-0.16949156599913182,3.015233291310989,-1.3328246030470927,-0.5919031478853871,0.29313768155846265,3.3208120591075305,4.80700889694957,52.6,63.5,47.8,50.9,-3.103608316246738,1.642110803747206,1.4023086188557472
2009-10-31,-185.0,0.2997434998585561,1.9152175000414697,1.0808512162557045,2.5576841789649776,-9.121600827166167,0.1999999999999993,0.2691831647081177,,-258.0,32.9,0.37550339242323516,-1.8025862350183486,12.6,0.8210226743122143,-26.0,0.2807999999999993,0.3677529069146491,0.2638386167019118,0.6344026062753771,-81.0,0.11240149193677816,0.37879891316715586,0.0,-0.03629209995390753,-0.9462758466490316,0.20673403350183042,-0.3062588887283401,2.8802336665975248,2.077775541065195,55.7,65.0,52.4,50.6,,,
2009-11-30,-4.0,0.3342996544930736,-0.42175257529626736,0.8114154020807054,-5.448818528406968,9.633110893843211,-0.09999999999999964,0.4328725221761207,,-13.0,25.7,1.5296192853218906,-1.4912258874787183,15.4,1.4610649517434853,40.0,0.4112999999999971,0.08752146517545363,0.07480160922893898,0.7541351475166489,97.0,-0.159197749090271,0.24951280001379122,0.844599615341087,2.1477764103147208,-1.4910353262570077,0.22458027679948023,0.2555535104184897,0.7145060356852042,2.4936151007522187,53.6,55.0,51.7,48.7,,,
2009-12-31,-249.0,0.052004115479812575,0.06294031160703972,0.418604368048443,-6.329485037231375,-1.197619104671565,0.0,0.40498600148736036,0.09975063171253382,-198.0,5.2,-0.3795889257211791,-1.8675495835083322,16.5,0.24144880945175534,41.0,0.4070999999999998,0.08520370927352683,0.09738488405167378,-0.1616303085829599,65.0,0.6093339084466505,0.057833685283972924,0.6705808867191201,1.4872389051164774,-1.8105851572058957,-0.26901409403925075,0.4554254829437633,2.391828686603339,2.3908912902297113,55.9,61.5,51.6,50.1,-3.5553058533873125,6.1609449007081425,4.300454151697932
2010-01-31,-6.0,0.06485218758462614,12.016687975031052,0.10533631137346748,-2.0086758566737344,5.5244171295231155,-0.09999999999999964,1.0840638479048323,0.893306188547535,-15.0,15.2,0.049975452796861886,-2.46239591411184,12.9,1.198576074522235,-28.0,0.8991000000000042,0.14781306581438589,-0.11234073034251503,0.17167632766750318,269.0,-0.183575839251174,0.21879781045747027,0.8319515539558463,1.954276796196746,0.34144013812518675,0.36641241688335463,0.045591468672140784,0.17328881672712482,-0.7286156525573086,58.4,70.0,53.6,50.5,,,
2010-02-28,-96.0,-0.09522298767451216,-0.3131694060229065,0.14351538475469278,-2.6433257068155482,-1.6420730212327521,0.0,0.3745944091096664,-0.19782400121057075,-81.0,21.6,0.3811504518465785,-0.8832072581297716,14.0,-0.07945967839614526,14.0,0.40799999999998704,0.08724149669175883,0.044407791125008984,0.6286215354374346,-171.0,0.3739593003288675,-0.002218893881482649,-0.3319505122852705,-1.7771966836435962,0.571613197728133,0.6267563741120452,0.050452035019512426,0.7836038467642723,2.6985312087920916,56.5,67.0,54.6,53.0,,,
2010-03-31,160.0,0.03313132458970315,0.9365812343924846,2.1540289297863464,12.56882151634967,5.162436540530725,0.09999999999999964,0.6833361127325353,0.09896091851662818,118.0,19.8,0.6481938150950841,0.8509680894507546,14.2,0.39666850901053385,37.0,0.6352000000000118,0.14858262753074125,0.02355531205825978,0.4699509420832289,13.0,0.4766007409143701,0.14080215192406287,0.7453450654580972,1.622339650052527,0.294166003871218,0.4042915329160458,0.3921685096635606,2.81826172141013,1.5629096129102003,59.6,75.0,54.0,55.4,-4.2862222888660515,2.18553261982087,1.9333240882710743
2010-04-30,254.0,0.02300140778755736,0.4382416024119241,0.8308949521063569,10.220593890931081,7.713572888222724,0.0,0.3386556200030132,0.29629651306572696,203.0,27.4,0.2992416982656215,0.9464119667346881,16.0,1.1023733682048291,-50.0,0.39409999999999457,0.05133814090123016,0.01766284353729027,0.37171257440828587,474.0,0.204197663197054,0.05427228204169334,1.0668956349567535,2.228160225326718,0.08306831349871485,0.6898131125000729,0.8617334686127031,-0.6436106843599422,0.07063189481693656,60.4,78.0,55.6,55.4,,,
