window,metodo,n,diff_media,diff_sd,corr_fed,RMSE,RMSE_fed,quota_meglio
2007-2010,diag4/student_t_ar1,16,-0.21207293115972992,1.4755543601077241,0.9301677497617524,2.325851427049433,2.0182205915258935,0.4375
2007-2010,diag4/student_t_ar1_shared,16,-0.12834788073109948,1.2363127444062905,0.9352823724434198,2.2470384521586126,2.0182205915258935,0.4375
2007-2010,ar2,16,-0.13000470181404544,2.5554425235439604,0.3944215905257973,3.2968019104769595,2.0182205915258935,0.5625
2007-2010,mean,16,1.2577850648341804,2.640955479858243,-0.2603302731215418,4.039047436896633,2.0182205915258935,0.375
2019-2021,diag4/gaussian,11,1.010035903001149,2.9300007150285734,0.9394360148880331,6.397330137124244,7.950336795401954,0.5454545454545454
2019-2021,diag4/gaussian_ar1,11,1.6385747773655963,2.9069764831883167,0.9200373618971365,7.258904841115144,7.950336795401954,0.45454545454545453
2019-2021,diag4/student_t,11,0.4906198693712626,1.8462768556308033,0.960370225871268,8.097420922516864,7.950336795401954,0.5454545454545454
2019-2021,diag4/student_t_ar1,11,1.1061832534246363,3.0511604229193034,0.9380123663033382,6.245629379962789,7.950336795401954,0.5454545454545454
2019-2021,diag4/student_t_ar1_shared,11,0.842428148208226,1.3431826618251224,0.9806956213339115,7.512504736565188,7.950336795401954,0.6363636363636364
2019-2021,ar2,11,-2.7636898780953056,11.990509183591215,-0.523134451821816,19.246082008778878,7.950336795401954,0.45454545454545453
2019-2021,mean,11,0.7657840770443155,6.649458546734949,-0.5753492260190962,13.803243192512587,7.950336795401954,0.36363636363636365
2024-2025,diag4/gaussian,8,-0.2548781416555671,1.5076936450737606,-0.32697091535447126,2.1816027211857794,1.7918118552845508,0.5
2024-2025,diag4/gaussian_ar1,8,-0.01912353264058786,1.3779872824086028,-0.24175766783622454,2.1523533253365814,1.7918118552845508,0.625
2024-2025,diag4/student_t,8,-0.10432113134442783,1.1153808372461522,-0.3207534014354307,1.932404103418078,1.7918118552845508,0.625
2024-2025,diag4/student_t_ar1,8,0.06204904310093484,1.5196812967706468,-0.3276151521815074,2.226894972900618,1.7918118552845508,0.625
2024-2025,diag4/student_t_ar1_shared,8,0.054403751898971925,1.2263196856648446,-0.3689668500434507,2.0713627114066093,1.7918118552845508,0.625
