window,metodo,fase,n,n_com,RMSE,RMSE_com,RMSE_rel_ar2,MAE,Bias,corr,MDA,MDA_com,n_dir,SignAcc
2007-2025,diag4/gaussian,nowcast M3,304,280,2.978694561148821,3.023262891889314,0.3907137597779441,1.9432231431583564,0.33354872138605035,0.8937890833709026,0.7467105263157895,0.725,304,0.8881578947368421
2007-2025,diag4/gaussian,backcast,298,275,3.00238194787131,3.0512482391105937,0.3902535286179414,1.9587072136451698,0.23044251959284087,0.896024931115269,0.7448979591836735,0.7232472324723247,294,0.912751677852349
2007-2025,diag4/gaussian_ar1,forecast,991,351,6.046984242999532,5.4044880777542685,0.9733156989845316,2.7280098887094897,0.48207663666450384,-0.11829315089392552,0.7375886524822695,0.7720797720797721,987,0.8435923309788093
2007-2025,diag4/gaussian_ar1,nowcast M1,304,283,5.0998027835484585,5.181302958811092,0.8120374058409663,2.4497596161895343,0.5324182729878716,0.46753209605628726,0.7733333333333333,0.7885304659498208,300,0.868421052631579
2007-2025,diag4/gaussian_ar1,nowcast M2,380,355,3.702568505342641,3.7336221749926235,0.48566391479893295,2.1128124932783274,0.4912542077346937,0.8065756847541216,0.7578947368421053,0.7436619718309859,380,0.8842105263157894
2007-2025,diag4/gaussian_ar1,nowcast M3,304,280,3.0855275495601897,3.113919194093692,0.4047269852744249,1.9871362474057226,0.38753608799506295,0.8791150502229003,0.7796052631578947,0.7607142857142857,304,0.8947368421052632
2007-2025,diag4/gaussian_ar1,backcast,298,275,3.3010293219406237,3.3526958819190598,0.42907210452420297,2.036063095818809,0.3468701260959908,0.8647698329683333,0.7517006802721088,0.7306273062730627,294,0.912751677852349
2007-2025,diag4/student_t,forecast,991,351,5.721552997279211,5.027807838013908,0.9209346561917754,2.574548771544244,0.6598413995445781,0.07973892639265837,0.7548125633232016,0.7806267806267806,987,0.8446014127144299
2007-2025,diag4/student_t,nowcast M1,304,283,4.891575054659014,4.9919421877606585,0.7788814757063722,2.3281212063406076,0.666903123230367,0.6342048024276367,0.7866666666666666,0.7956989247311828,300,0.881578947368421
2007-2025,diag4/student_t,nowcast M2,380,355,3.9107390559284254,3.9766252612383335,0.5129695336949661,2.064013946685254,0.4941140175321023,0.8275031439094557,0.7473684210526316,0.7323943661971831,380,0.8894736842105263
2007-2025,diag4/student_t,nowcast M3,304,280,3.6383960816822474,3.723910182859812,0.4772464525826172,2.014247838063079,0.3400513703094384,0.8611177736652216,0.7467105263157895,0.725,304,0.8947368421052632
2007-2025,diag4/student_t,backcast,298,275,3.5276496403166338,3.6113643646131948,0.45852850961798614,2.004533499843575,0.19340576668107204,0.8757072418059013,0.7380952380952381,0.7158671586715867,294,0.9093959731543624
2007-2025,diag4/student_t_ar1,forecast,991,351,5.922201192955586,5.253718934599018,0.953230761320679,2.6401971940620155,0.5733407289462312,-0.041297556859367736,0.7477203647416414,0.7777777777777778,987,0.8476286579212916
2007-2025,diag4/student_t_ar1,nowcast M1,304,283,5.211271394175492,5.302278544339141,0.8297864610982152,2.4086216975684205,0.5943187468415995,0.4280466565102201,0.7733333333333333,0.7813620071684588,300,0.868421052631579
2007-2025,diag4/student_t_ar1,nowcast M2,380,355,3.8189959825132145,3.8643201551753963,0.50093564421359,2.079586473573541,0.41094208094989276,0.7497298515272944,0.7342105263157894,0.7183098591549296,380,0.8842105263157894
2007-2025,diag4/student_t_ar1,nowcast M3,304,280,3.1451799947577976,3.176698826305467,0.4125515643524879,1.9566061660606073,0.38539326037336746,0.8716755882622551,0.7697368421052632,0.75,304,0.8947368421052632
2007-2025,diag4/student_t_ar1,backcast,298,275,2.940893327581979,2.9685000587286643,0.38226115740921707,1.92345341710567,0.22434439407512805,0.8951457439992077,0.7721088435374149,0.7527675276752768,294,0.9060402684563759
2007-2025,diag4/student_t_ar1_shared,forecast,991,351,5.848818059624321,5.135446338927297,0.9414190957297387,2.624784692909347,0.6875721706259119,0.002236784971752226,0.7467071935157041,0.7749287749287749,987,0.8446014127144299
2007-2025,diag4/student_t_ar1_shared,nowcast M1,304,283,4.924489871621269,5.007716188315787,0.7841224749595164,2.3444055680604676,0.7181727509900653,0.5935299454078439,0.77,0.7777777777777778,300,0.8848684210526315
2007-2025,diag4/student_t_ar1_shared,nowcast M2,380,355,3.7482788547737833,3.7837461248779096,0.4916597166914631,2.059016618134467,0.6006577313556264,0.8263377311121082,0.7131578947368421,0.704225352112676,380,0.8947368421052632
2007-2025,diag4/student_t_ar1_shared,nowcast M3,304,280,3.508947904965063,3.541955694162043,0.46026680502786277,1.999833610363298,0.4787924635386926,0.8555683575168909,0.7467105263157895,0.7285714285714285,304,0.9013157894736842
2007-2025,diag4/student_t_ar1_shared,backcast,298,275,3.4268090016760935,3.4660539133488,0.4454211116450337,1.9571535223264154,0.35464148448941163,0.8680439935566853,0.7789115646258503,0.7601476014760148,294,0.912751677852349
