window,metodo,n,settimana,RMSE,MAE,Bias,corr,RMSE_rel_fed,RMSE_rel_ar2
2007-2010,diag4/gaussian,16,17.0,2.2807916612704253,1.8361624709604458,1.0244792945834547,0.8158421295564781,1.1301002828169604,0.6918194429644866
2007-2010,diag4/gaussian_ar1,16,17.0,2.3302417184588315,1.8073959044092585,0.7346901846464742,0.7887605843667114,1.1546020926766145,0.7068188449701873
2007-2010,diag4/student_t,16,17.0,2.200853818996962,1.674524076005876,1.100987688139067,0.8249451612398946,1.090492203001946,0.6675723561075458
2007-2010,diag4/student_t_ar1,16,17.0,2.325851427049433,1.819514271714631,0.7715933965600317,0.7898072216191678,1.1524267648517807,0.7054871630770634
2007-2010,diag4/student_t_ar1_shared,16,17.0,2.2470384521586126,1.7020701067887418,0.8553184469886621,0.796328451816752,1.1133760410499625,0.681581275786608
2007-2010,nyfed,16,17.0,2.0182205915258935,1.536256234360295,0.9836663277197616,0.8556991447792873,1.0,0.612175267525828
2007-2010,ar2,16,17.0,3.2968019104769595,2.160375558523543,0.853661625905716,0.3625990320215649,1.6335191129847622,1.0
2007-2010,mean,16,17.0,4.039047436896633,2.671225416605905,2.241451392553942,-0.10404739971813586,2.0012913622305653,1.225141075070625
2019-2021,diag4/gaussian,11,17.0,6.397330137124244,4.393402127792628,-0.14382515995828038,0.979776787294201,0.8046615258895843,0.33239649161871887
2019-2021,diag4/gaussian_ar1,11,17.0,7.258904841115144,4.77909915637564,0.48471371440616673,0.9598044466370063,0.9130311115012515,0.37716273046140397
2019-2021,diag4/student_t,11,17.0,8.097420922516864,5.143415172493821,-0.6632411935881669,0.9791974320522242,1.018500364311607,0.4207308749294178
2019-2021,diag4/student_t_ar1,11,17.0,6.245629379962789,4.209414901409836,-0.04767780953479317,0.9811624420194766,0.7855804779962182,0.324514328532629
2019-2021,diag4/student_t_ar1_shared,11,17.0,7.512504736565188,4.5259385181978615,-0.31143291475120355,0.9759388035860574,0.9449291180859175,0.39033943288501244
2019-2021,nyfed,11,17.0,7.950336795401954,5.086468874445398,-1.1538610629594295,0.963024720266062,1.0,0.4130885856027996
2019-2021,ar2,11,17.0,19.246082008778878,11.053216943068845,-3.9175509410547353,-0.641385106850335,2.4207882639525122,1.0
2019-2021,mean,11,17.0,13.803243192512587,7.784846439995016,-0.3880769859151138,-0.6789008643690847,1.7361834533218314,0.7171975670796995
2024-2025,diag4/gaussian,8,17.0,2.1816027211857794,1.664924282821713,-0.47936588430122934,-0.0797162615277938,1.2175400641265024,1.3413128730149346
2024-2025,diag4/gaussian_ar1,8,17.0,2.1523533253365814,1.5499156182011409,-0.24361127528624998,-0.16062281560002942,1.201216142748857,1.3233294928149346
