job,ok,returncode,minutes,detail,log
bvar_cbvar_2022-10-28,True,0,20.44,,output/_logs/run_all/bvar_cbvar_2022-10-28.log
bvar_cbvar_2024-02-02,True,0,20.06,,output/_logs/run_all/bvar_cbvar_2024-02-02.log
dfm_diag3_gaussian_ar1,True,0,37.93,,output/_logs/run_all/dfm_diag3_gaussian_ar1.log
bvar_qbvar_2007-11-02,True,0,21.08,,output/_logs/run_all/bvar_qbvar_2007-11-02.log
bvar_qbvar_2010-10-29,True,0,20.89,,output/_logs/run_all/bvar_qbvar_2010-10-29.log
bvar_qbvar_2011-04-29,True,0,21.03,,output/_logs/run_all/bvar_qbvar_2011-04-29.log
bvar_qbvar_2008-02-01,True,0,21.52,,output/_logs/run_all/bvar_qbvar_2008-02-01.log
bvar_qbvar_2009-07-31,True,0,21.71,,output/_logs/run_all/bvar_qbvar_2009-07-31.log
bvar_qbvar_2012-08-03,True,0,21.03,,output/_logs/run_all/bvar_qbvar_2012-08-03.log
bvar_qbvar_2010-01-29,True,0,21.76,,output/_logs/run_all/bvar_qbvar_2010-01-29.log
bvar_qbvar_2007-02-02,True,0,22.09,,output/_logs/run_all/bvar_qbvar_2007-02-02.log
bvar_qbvar_2007-08-03,True,0,22.13,,output/_logs/run_all/bvar_qbvar_2007-08-03.log
bvar_qbvar_2010-07-30,True,0,21.89,,output/_logs/run_all/bvar_qbvar_2010-07-30.log
bvar_qbvar_2012-11-02,True,0,21.31,,output/_logs/run_all/bvar_qbvar_2012-11-02.log
bvar_qbvar_2008-10-31,True,0,22.2,,output/_logs/run_all/bvar_qbvar_2008-10-31.log
bvar_qbvar_2012-02-03,True,0,21.76,,output/_logs/run_all/bvar_qbvar_2012-02-03.log
bvar_qbvar_2010-04-30,True,0,22.17,,output/_logs/run_all/bvar_qbvar_2010-04-30.log
bvar_qbvar_2013-08-02,True,0,21.47,,output/_logs/run_all/bvar_qbvar_2013-08-02.log
bvar_qbvar_2013-05-03,True,0,21.79,,output/_logs/run_all/bvar_qbvar_2013-05-03.log
bvar_qbvar_2011-01-28,True,0,22.36,,output/_logs/run_all/bvar_qbvar_2011-01-28.log
bvar_qbvar_2009-10-30,True,0,22.69,,output/_logs/run_all/bvar_qbvar_2009-10-30.log
bvar_qbvar_2008-05-02,True,0,22.86,,output/_logs/run_all/bvar_qbvar_2008-05-02.log
bvar_qbvar_2008-08-01,True,0,22.85,,output/_logs/run_all/bvar_qbvar_2008-08-01.log
bvar_qbvar_2009-05-01,True,0,22.97,,output/_logs/run_all/bvar_qbvar_2009-05-01.log
bvar_qbvar_2007-05-04,True,0,23.25,,output/_logs/run_all/bvar_qbvar_2007-05-04.log
bvar_qbvar_2011-07-29,True,0,22.87,,output/_logs/run_all/bvar_qbvar_2011-07-29.log
bvar_qbvar_2014-05-02,True,0,22.03,,output/_logs/run_all/bvar_qbvar_2014-05-02.log
bvar_qbvar_2014-10-31,True,0,22.04,,output/_logs/run_all/bvar_qbvar_2014-10-31.log
bvar_qbvar_2014-01-31,True,0,22.57,,output/_logs/run_all/bvar_qbvar_2014-01-31.log
bvar_qbvar_2015-01-30,True,0,22.11,,output/_logs/run_all/bvar_qbvar_2015-01-30.log
bvar_qbvar_2009-01-30,True,0,23.74,,output/_logs/run_all/bvar_qbvar_2009-01-30.log
bvar_qbvar_2013-11-01,True,0,22.87,,output/_logs/run_all/bvar_qbvar_2013-11-01.log
bvar_qbvar_2012-05-04,True,0,23.33,,output/_logs/run_all/bvar_qbvar_2012-05-04.log
bvar_qbvar_2013-02-01,True,0,23.12,,output/_logs/run_all/bvar_qbvar_2013-02-01.log
bvar_qbvar_2014-08-01,True,0,22.84,,output/_logs/run_all/bvar_qbvar_2014-08-01.log
bvar_qbvar_2015-05-01,True,0,22.38,,output/_logs/run_all/bvar_qbvar_2015-05-01.log
dfm_diag4_gaussian_ar1,True,0,43.36,,output/_logs/run_all/dfm_diag4_gaussian_ar1.log
bvar_cbvar_2023-04-28,True,0,26.37,,output/_logs/run_all/bvar_cbvar_2023-04-28.log
bvar_qbvar_2011-10-28,True,0,24.79,,output/_logs/run_all/bvar_qbvar_2011-10-28.log
bvar_qbvar_2015-07-31,True,0,20.94,,output/_logs/run_all/bvar_qbvar_2015-07-31.log
bvar_qbvar_2016-04-29,True,0,20.46,,output/_logs/run_all/bvar_qbvar_2016-04-29.log
bvar_qbvar_2015-10-30,True,0,21.99,,output/_logs/run_all/bvar_qbvar_2015-10-30.log
dfm_fed_overlap_gaussian_ar1,True,0,50.89,,output/_logs/run_all/dfm_fed_overlap_gaussian_ar1.log
bvar_qbvar_2016-01-29,True,0,22.02,,output/_logs/run_all/bvar_qbvar_2016-01-29.log
bvar_qbvar_2016-07-29,True,0,22.14,,output/_logs/run_all/bvar_qbvar_2016-07-29.log
dfm_diag3_student_t,True,0,53.84,,output/_logs/run_all/dfm_diag3_student_t.log
bvar_qbvar_2017-02-03,True,0,20.57,,output/_logs/run_all/bvar_qbvar_2017-02-03.log
bvar_qbvar_2025-10-31,True,0,13.03,,output/_logs/run_all/bvar_qbvar_2025-10-31.log
bvar_qbvar_2019-02-01,True,0,19.41,,output/_logs/run_all/bvar_qbvar_2019-02-01.log
bvar_qbvar_2017-11-03,True,0,20.51,,output/_logs/run_all/bvar_qbvar_2017-11-03.log
bvar_qbvar_2018-08-03,True,0,20.22,,output/_logs/run_all/bvar_qbvar_2018-08-03.log
dfm_diag4_student_t,True,0,55.47,,output/_logs/run_all/dfm_diag4_student_t.log
bvar_qbvar_2018-05-04,True,0,20.52,,output/_logs/run_all/bvar_qbvar_2018-05-04.log
bvar_qbvar_2016-10-28,True,0,22.52,,output/_logs/run_all/bvar_qbvar_2016-10-28.log
bvar_qbvar_2017-04-28,True,0,21.53,,output/_logs/run_all/bvar_qbvar_2017-04-28.log
bvar_qbvar_2018-11-02,True,0,20.36,,output/_logs/run_all/bvar_qbvar_2018-11-02.log
bvar_qbvar_2018-02-02,True,0,21.26,,output/_logs/run_all/bvar_qbvar_2018-02-02.log
bvar_qbvar_2019-05-03,True,0,20.07,,output/_logs/run_all/bvar_qbvar_2019-05-03.log
bvar_qbvar_2020-01-31,True,0,19.85,,output/_logs/run_all/bvar_qbvar_2020-01-31.log
bvar_qbvar_2019-11-01,True,0,21.06,,output/_logs/run_all/bvar_qbvar_2019-11-01.log
bvar_qbvar_2017-07-28,True,0,22.95,,output/_logs/run_all/bvar_qbvar_2017-07-28.log
bvar_qbvar_2021-04-30,True,0,19.61,,output/_logs/run_all/bvar_qbvar_2021-04-30.log
bvar_qbvar_2020-07-31,True,0,19.9,,output/_logs/run_all/bvar_qbvar_2020-07-31.log
bvar_qbvar_2025-05-02,True,0,16.24,,output/_logs/run_all/bvar_qbvar_2025-05-02.log
bvar_qbvar_2023-02-03,True,0,17.36,,output/_logs/run_all/bvar_qbvar_2023-02-03.log
bvar_qbvar_2021-01-29,True,0,20.37,,output/_logs/run_all/bvar_qbvar_2021-01-29.log
bvar_qbvar_2019-08-02,True,0,22.16,,output/_logs/run_all/bvar_qbvar_2019-08-02.log
bvar_qbvar_2020-10-30,True,0,21.26,,output/_logs/run_all/bvar_qbvar_2020-10-30.log
bvar_qbvar_2025-01-31,True,0,18.27,,output/_logs/run_all/bvar_qbvar_2025-01-31.log
bvar_qbvar_2022-04-29,True,0,19.26,,output/_logs/run_all/bvar_qbvar_2022-04-29.log
bvar_qbvar_2025-08-01,True,0,18.59,,output/_logs/run_all/bvar_qbvar_2025-08-01.log
bvar_qbvar_2024-11-01,True,0,19.24,,output/_logs/run_all/bvar_qbvar_2024-11-01.log
bvar_qbvar_2021-10-29,True,0,20.43,,output/_logs/run_all/bvar_qbvar_2021-10-29.log
bvar_qbvar_2022-01-28,True,0,20.31,,output/_logs/run_all/bvar_qbvar_2022-01-28.log
bvar_qbvar_2024-08-02,True,0,19.47,,output/_logs/run_all/bvar_qbvar_2024-08-02.log
bvar_qbvar_2020-05-01,True,0,23.2,,output/_logs/run_all/bvar_qbvar_2020-05-01.log
bvar_qbvar_2023-04-28,True,0,20.13,,output/_logs/run_all/bvar_qbvar_2023-04-28.log
bvar_qbvar_2021-07-30,True,0,21.54,,output/_logs/run_all/bvar_qbvar_2021-07-30.log
bvar_qbvar_2023-11-03,True,0,20.64,,output/_logs/run_all/bvar_qbvar_2023-11-03.log
bvar_qbvar_2024-02-02,True,0,20.82,,output/_logs/run_all/bvar_qbvar_2024-02-02.log
bvar_qbvar_2022-10-28,True,0,21.21,,output/_logs/run_all/bvar_qbvar_2022-10-28.log
bvar_qbvar_2024-05-03,True,0,21.18,,output/_logs/run_all/bvar_qbvar_2024-05-03.log
bvar_qbvar_2022-07-29,True,0,21.98,,output/_logs/run_all/bvar_qbvar_2022-07-29.log
dfm_fed_overlap_student_t,True,0,62.81,,output/_logs/run_all/dfm_fed_overlap_student_t.log
bvar_qbvar_2023-07-28,True,0,22.41,,output/_logs/run_all/bvar_qbvar_2023-07-28.log
bvar_lbvar_2007-01-05,True,0,230.68,,output/_logs/run_all/bvar_lbvar_2007-01-05.log
bvar_bbvar_2007-01-05,True,0,244.05,,output/_logs/run_all/bvar_bbvar_2007-01-05.log
dfm_diag3_student_t_ar1,True,0,274.85,,output/_logs/run_all/dfm_diag3_student_t_ar1.log
dfm_diag4_student_t_ar1,True,0,278.08,,output/_logs/run_all/dfm_diag4_student_t_ar1.log
dfm_diag3_student_t_ar1_shared,True,0,297.7,,output/_logs/run_all/dfm_diag3_student_t_ar1_shared.log
dfm_fed_overlap_student_t_ar1,True,0,319.43,,output/_logs/run_all/dfm_fed_overlap_student_t_ar1.log
bvar_lbvar_2007-02-02,True,0,338.99,,output/_logs/run_all/bvar_lbvar_2007-02-02.log
