,INDPRO,IPFINAL,IPMANSICS,PAYEMS,MANEMP,RPI,CMRMTSPLx,RETAILx,S&P 500,S&P PE ratio,T10YFFM,T1YFFM,BAAFFM,TB3SMFFM,NFCI,CPIAUCSL,PCEPI,UMCSENTx,TWEXAFEGSMTHx,GDPC1
1995-03-31,0.0016603011582869698,0.002273626101020554,0.002884356794700338,0.0018321766069142598,-0.00017376697891968718,0.002529105712566704,-0.0003534470810819812,0.010874627767526235,0.023035262228528808,-0.0072557634429988305,1.22,0.45,2.72,-0.25,-0.6382,-0.0006681836132438335,7.108819788559373e-05,-4.799999999999997,-0.036714826495467534,0.35415264608129604
1995-04-30,-0.0017277257902161836,-0.0039002687182252416,-0.0033774377433726244,0.0013505776198776687,0.0008685331022810772,0.0011690995096476087,-0.007511002480832474,0.0006709536243754144,0.029490879128513114,-0.0010707518745189937,1.01,0.22,2.55,-0.4,-0.65575,0.001974303244467457,0.0007815590869117983,2.200000000000003,-0.03337300764294149,
1995-05-31,0.004898906985118856,0.006699883728082057,0.0038812769396061597,-0.0001708583929787011,-0.0011582118505764072,0.0007667844304481974,0.007336396311796278,0.013981975244357514,0.030824756619064253,0.003175528356639923,0.62,-0.01,2.19,-0.34,-0.702,-0.0019860669123801244,-0.0010853522998512943,-2.700000000000003,0.0065422191877724245,
1995-06-30,0.0033088514322034968,0.005942496864626001,0.004727841754633033,0.0020910064502643877,-0.0006375887768523825,0.003680247221554467,0.009592637750134969,0.011660520179935574,0.0292356876738582,0.003005061291382116,0.17,-0.36,1.9,-0.53,-0.6914,-3.890316417454187e-06,-0.0005633648495191323,2.9000000000000057,-0.0009712432520379011,0.2978787465089283
1995-07-31,-0.00418989274010606,-0.005072229363973335,-0.006829079024608831,0.0007755472897290616,-0.0016828670734998497,0.00335311508219327,-0.011892774959168406,-0.006373099447149144,0.03286458146475013,0.009744824221447956,0.43,-0.26,2.19,-0.43,-0.6737500000000001,-0.0006589683894890896,0.0002793170607162665,1.7000000000000028,0.001331044144422755,
1995-08-31,0.013169322992450994,0.015127680023258705,0.011663170360144193,0.0022465417825348055,0.001276916999783495,0.0014477471255105456,0.020055388348835024,0.009835456658933595,0.0031169414744951496,-0.02101789201145765,0.75,0.01,2.45,-0.34,-0.7032499999999999,0.0006525184868495515,0.0008965769089526177,1.7999999999999972,0.031714702088987856,
1995-09-30,0.004025176187479218,0.0037458099551974655,0.008951290664793277,0.0019276582381202445,0.0004059500737163546,0.003841623976478914,-0.001222849435627893,0.0012872285365226332,0.03455892827809404,0.012729877214642471,0.4,-0.18,2.13,-0.52,-0.707,-0.0006568043560379877,-0.0014595474168546119,-7.299999999999997,0.01778949921335027,0.8471272260706542
1995-10-31,-0.0017591074109057914,-0.00675234302437655,-0.0013678473993898876,0.0012971654941615895,-0.0017990313298898997,0.0014605448699072099,0.0005222345150244223,-0.003682200739989483,0.007144793626718382,-0.014397585044970018,0.28,-0.17,1.99,-0.48,-0.70375,0.0013020746349914347,0.0018936151116504263,1.2999999999999972,-0.01013734109006581,
1995-11-30,0.0026320058946325275,0.0017810289553761294,0.0010480823968412878,0.0011770136546029875,-0.0004647920139451145,0.0032398268588789136,0.008152837330428042,0.014589190376685934,0.021401809694691742,0.008129471055244863,0.13,-0.37,1.88,-0.44,-0.74125,-0.0013071808463145373,-0.0026144198341695457,-2.0,0.004443374416451817,
1995-12-31,0.003464824423083712,0.004301360586442371,0.0033362361275228736,0.0013531229600616257,0.0013356951955341145,0.001806446592674149,0.004728339523611069,0.002389733629545532,0.03147107090924006,0.0219919581690613,0.11,-0.29,1.89,-0.46,-0.7494,-1.6932170154859705e-06,0.001949188937634183,2.799999999999997,0.00860039925679601,0.6767866746930196
1996-01-31,-0.005740078791367509,-0.011406858433631761,-0.006864496043073487,-6.76126807839239e-05,-0.0013356951955341145,0.003376712752025668,-0.0100321418599858,-0.0011720714883143302,-0.0002441028824398117,-0.012443411129652304,0.09,-0.47,1.91,-0.56,-0.7705,0.00388432643390324,0.00030315261948743455,-1.7000000000000028,0.014050580718617312,
1996-02-29,0.014529159926465418,0.01767861626304601,0.014660980383441213,0.0035519220654833816,0.0012776585744092017,0.008288153450815017,0.008995170420130094,0.015009973332000826,0.055585686662594114,0.0477706101134614,0.59,-0.28,2.41,-0.39,-0.8195,-0.00324735739395976,-0.0006464985641416732,-0.7999999999999972,0.002201123209303546,
